,combined_human_F,combined_human_F 95% CI,combined_human_M,combined_human_M 95% CI,mice_F,mice_F 95% CI,mice_M,mice_M 95% CI,celegans,celegans 95% CI,ecoli,ecoli 95% CI,cats_BPH,cats_BPH 95% CI,drosophila_853,drosophila_853 95% CI,drosophila_707,drosophila_707 95% CI,drosophila_441,drosophila_441 95% CI,drosophila_217,drosophila_217 95% CI,Sweden_M_1910_hetro,Sweden_M_1910_hetro 95% CI,Sweden_F_1910_hetro,Sweden_F_1910_hetro 95% CI,Denmark_M_1900_hetro,Denmark_M_1900_hetro 95% CI,Denmark_M_1890_hetro,Denmark_M_1890_hetro 95% CI,Denmark_F_1900_hetro,Denmark_F_1900_hetro 95% CI,Denmark_F_1890_hetro,Denmark_F_1890_hetro 95% CI,Staffy_vetCompass,Staffy_vetCompass 95% CI,Labradors_vetCompass,Labradors_vetCompass 95% CI,Jack_Russell_vetCompass,Jack_Russell_vetCompass 95% CI,German_Shepherd_vetCompass,German_Shepherd_vetCompass 95% CI,Guiniea_pig_VC,Guiniea_pig_VC 95% CI,cats_vp_M,cats_vp_M 95% CI,cats_vp_F,cats_vp_F 95% CI,Sweden_F_1910_homo,Sweden_F_1910_homo 95% CI,Denmark_M_1900_homo,Denmark_M_1900_homo 95% CI,Denmark_M_1890_homo,Denmark_M_1890_homo 95% CI,yeast,yeast 95% CI
data_MedianLifetime,29017.5,"[28835.78, 29201.48]",26462.5,"[26282.86, 26644.4]",886.0,"[882.62, 889.6]",770.0,"[766.63, 773.63]",18.3,"[17.82, 18.82]",2.84,"[2.82, 2.8609999999999998]",4380.0,"[4199.87, 4565.19]",47.0,"[46.52, 47.54]",22.0,"[21.5, 22.56]",50.0,"[49.51, 50.55]",31.0,"[30.57, 31.49]",26462.5,"[26282.86, 26644.4]",29017.5,"[28835.78, 29201.48]",25185.0,"[25004.5, 25367.76]",24455.0,"[24273.67, 24638.59]",27192.5,"[27011.44, 27375.82]",25550.0,"[25369.5, 25732.76]",4402.98,"[4228.349999999999, 4593.209999999999]",4487.88,"[4312.55, 4677.57]",4943.61,"[4770.0599999999995, 5135.33]",3915.32,"[3743.73, 4108.45]",1468.99,"[1300.48, 1665.02]",4577.1,"[4401.320000000001, 4766.09]",5201.25,"[5025.35, 5390.91]",29017.5,"[28835.78, 29201.48]",25185.0,"[25004.5, 25367.76]",24455.0,"[24273.67, 24638.59]",3.25,"[3.191, 3.311]"
data_MaxLifetime,40150.0,"[40150.0, 40150.0]",39237.5,"[39237.5, 39237.5]",1456.0,"[1456.0, 1456.0]",1338.0,"[1338.0, 1338.0]",30.46,"[30.46, 30.46]",5.74,"[5.74, 5.74]",6205.0,"[6205.0, 6205.0]",66.0,"[66.0, 66.0]",47.0,"[47.0, 47.0]",82.0,"[82.0, 82.0]",53.0,"[53.0, 53.0]",39237.5,"[39237.5, 39237.5]",40150.0,"[40150.0, 40150.0]",37777.5,"[37777.5, 37777.5]",39602.5,"[39602.5, 39602.5]",38872.5,"[38872.5, 38872.5]",39602.5,"[39602.5, 39602.5]",7253.03,"[7253.03, 7253.03]",7065.12,"[7065.12, 7065.12]",7788.62,"[7788.62, 7788.62]",6935.21,"[6935.21, 6935.21]",3649.5,"[3649.5, 3649.5]",9672.5,"[9672.5, 9672.5]",9161.5,"[9161.5, 9161.5]",40150.0,"[40150.0, 40150.0]",37777.5,"[37777.5, 37777.5]",39602.5,"[39602.5, 39602.5]",7.88,"[7.88, 7.88]"
ML_lnprob,,,,,-23782.520433176214,"[-23782.520433176218, -23782.520433176218]",-18452.720352933,"[-18452.720352933, -18452.720352933]",-17158.07182790857,"[-17158.07182790857, -17158.07182790857]",-49914.22568292802,"[-49914.22568292802, -49914.22568292802]",-60558.09142866669,"[-60558.09142866669, -60558.09142866669]",-4032.9856234774975,"[-4032.9856234774975, -4032.9856234774975]",-3412.844186794696,"[-3412.844186794696, -3412.844186794696]",-3836.2999302519142,"[-3836.2999302519147, -3836.2999302519147]",-2812.1069542078462,"[-2812.1069542078462, -2812.1069542078462]",-377729.8498961141,"[-377729.8498961141, -377729.8498961141]",-384645.7519822385,"[-384645.7519822385, -384645.7519822385]",-356253.4388665623,"[-356253.4388665623, -356253.4388665623]",-331778.0911707365,"[-331778.0911707365, -331778.0911707365]",-370794.76481385506,"[-370794.76481385506, -370794.76481385506]",-346955.23771160276,"[-346955.23771160276, -346955.23771160276]",-17573.376625049652,"[-17573.376625049652, -17573.376625049652]",-20998.558840421138,"[-20998.558840421138, -20998.558840421138]",-12669.054772033034,"[-12669.054772033034, -12669.054772033034]",-8450.4844673953,"[-8450.4844673953, -8450.4844673953]",-4923.7407795883355,"[-4923.7407795883355, -4923.7407795883355]",-21910.355072076876,"[-21910.355072076876, -21910.355072076876]",-20437.248890420808,"[-20437.248890420808, -20437.248890420808]",-385019.4183674486,"[-385019.4183674486, -385019.4183674486]",-356549.77931334125,"[-356549.77931334125, -356549.77931334125]",-332119.0108116233,"[-332119.0108116233, -332119.0108116233]",-90121.12894204134,"[-90121.12894204134, -90121.12894204134]"
ExtH,,,,,,,,,,,,,4.089,"[4.007, 4.237]",,,,,,,,,7.012,"[7.007, 7.018]",7.204,"[7.198, 7.209]",7.733,"[7.727, 7.74]",7.985,"[7.979, 7.992]",7.83,"[7.824, 7.837]",7.477,"[7.471, 7.483]",5.433,"[5.255, 5.757]",6.157,"[5.801, 6.183]",5.516,"[5.494, 5.932]",4.863,"[4.827, 5.306]",,,4.608,"[4.565, 4.652]",4.627,"[4.565, 4.782]",6.983,"[6.978, 6.989]",8.212,"[8.205, 8.218]",7.632,"[7.626, 7.638]",,
eta_xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beta_xc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
epsilon_xc2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eta/xc,1.1e-06,"[1.06e-06, 1.13e-06]",1.09e-06,"[1.05e-06, 1.19e-06]",2.45e-05,"[1.34e-05, 3.35e-05]",6.76e-06,"[5.42e-06, 8.87e-06]",0.0102,"[0.00901, 0.0143]",23.32,"[12.705, 25.894]",1.3e-06,"[2.71e-07, 1.71e-06]",0.125,"[0.0233, 0.143]",0.00271,"[0.00249, 0.00439]",0.00211,"[0.00112, 0.00328]",0.00168,"[0.00162, 0.00191]",3.01e-07,"[2.92e-07, 3.1e-07]",2.73e-06,"[2.67e-06, 2.79e-06]",7.09e-07,"[6.94e-07, 7.25e-07]",1.83e-06,"[1.78e-06, 1.88e-06]",1.32e-06,"[1.29e-06, 1.36e-06]",1.2e-06,"[1.17e-06, 1.24e-06]",1.03e-05,"[3.75e-06, 1.7e-05]",3.72e-06,"[2.24e-06, 7.25e-06]",5.01e-06,"[6.99e-07, 2.18e-05]",3.77e-07,"[1.75e-07, 8.8e-07]",2.95e-06,"[1.81e-06, 5.83e-06]",1.74e-06,"[1.18e-06, 2.58e-06]",3.73e-06,"[1.3e-06, 3.83e-06]",2.98e-06,"[2.93e-06, 3.02e-06]",1.48e-06,"[1.45e-06, 1.52e-06]",1.05e-06,"[1.03e-06, 1.07e-06]",0.122,"[0.111, 0.123]"
beta/xc,0.0456,"[0.0412, 0.0472]",0.0483,"[0.0465, 0.0501]",0.0151,"[0.00918, 0.0326]",0.00327,"[0.00198, 0.00483]",0.0635,"[0.0505, 0.126]",183.437,"[83.137, 201.711]",0.0113,"[0.00129, 0.014]",12.685,"[1.351, 14.728]",0.0164,"[0.000532, 0.0484]",0.0654,"[0.0169, 0.121]",0.000605,"[2.7e-05, 0.00814]",0.0108,"[0.0105, 0.0112]",0.121,"[0.118, 0.124]",0.0265,"[0.0258, 0.0272]",0.0737,"[0.0713, 0.0761]",0.0526,"[0.0511, 0.0541]",0.0487,"[0.0472, 0.0503]",0.131,"[0.0175, 0.193]",0.044,"[0.0117, 0.0497]",0.169,"[0.00226, 0.691]",0.000772,"[0.000245, 0.00363]",0.00776,"[0.00386, 0.0215]",0.0182,"[0.00144, 0.0311]",0.0422,"[0.0121, 0.0504]",0.203,"[0.199, 0.207]",0.0857,"[0.083, 0.0884]",0.0585,"[0.0571, 0.06]",0.0309,"[0.0016, 0.0388]"
epsilon/xc^2,0.00192,"[0.00188, 0.00197]",0.00176,"[0.00164, 0.00181]",0.00165,"[0.000812, 0.00252]",0.000577,"[0.000447, 0.000836]",0.00507,"[0.00428, 0.00842]",11.853,"[6.3, 12.115]",0.00126,"[0.000202, 0.00171]",0.66,"[0.112, 0.724]",0.00787,"[0.0072, 0.0123]",0.00299,"[0.00173, 0.00765]",0.00212,"[0.00194, 0.00247]",0.000467,"[0.000458, 0.000476]",0.00295,"[0.0029, 0.00301]",0.00125,"[0.00122, 0.00127]",0.00249,"[0.00244, 0.00255]",0.00206,"[0.00201, 0.00211]",0.00198,"[0.00194, 0.00202]",0.00633,"[0.00213, 0.0108]",0.00292,"[0.000823, 0.00301]",0.0101,"[0.000233, 0.014]",8.38e-05,"[3.58e-05, 0.000314]",0.00131,"[0.000796, 0.00303]",0.00194,"[0.00108, 0.00314]",0.00315,"[0.00119, 0.00445]",0.00667,"[0.00657, 0.00678]",0.00442,"[0.00431, 0.00454]",0.0031,"[0.00304, 0.00316]",0.0642,"[0.0598, 0.0655]"
k/xc,0.0363,"[0.0351, 0.0375]",0.0404,"[0.0356, 0.0421]",0.0163,"[0.00202, 0.0453]",0.0114,"[0.000421, 0.0192]",0.0115,"[0.0018, 0.0311]",0.117,"[0.075, 0.148]",0.0232,"[0.00183, 0.0329]",0.134,"[0.0195, 0.214]",0.000493,"[1.86e-05, 0.0143]",0.00123,"[0.000287, 0.0071]",0.000115,"[1e-05, 0.00278]",0.0355,"[0.0344, 0.0366]",0.0811,"[0.0788, 0.0835]",0.0167,"[0.0161, 0.0173]",0.0815,"[0.0786, 0.0844]",0.0305,"[0.0297, 0.0314]",0.0388,"[0.0375, 0.0401]",0.0817,"[0.00797, 0.645]",0.036,"[0.00608, 0.0557]",0.0653,"[0.00731, 1.193]",0.00159,"[0.000318, 0.0201]",0.00684,"[0.00119, 0.06]",0.0268,"[0.0207, 0.0348]",0.0942,"[0.00842, 0.155]",0.181,"[0.176, 0.186]",0.0521,"[0.0502, 0.054]",0.059,"[0.0574, 0.0607]",8.14e-05,"[3.86e-05, 0.000187]"
