death times,events
114.2857143,1
114.2857143,1
142.8571429,1
100,1
105.4285714,1
115.2857143,1
144.5714286,1
131.2857143,1
77.28571429,1
97.57142857,1
138.4285714,1
102,1
137.4285714,1
105.4285714,1
137.4285714,1
157.5714286,1
131,0
131,0
34,1
131,0
117.2857143,1
82.57142857,1
128,1
173.1428571,1
127.8571429,1
114,1
151.8571429,1
99.85714286,1
106.7142857,1
138.5714286,1
116.4285714,1
122.5714286,1
156.7142857,1
139.1428571,1
142,1
73.14285714,1
137.4285714,1
142.7142857,1
120.4285714,1
120.4285714,1
105.2857143,1
101.2857143,1
134.2857143,1
113.4285714,1
130,1
112.4285714,1
133.5714286,1
133.5714286,1
137.2857143,1
134.4285714,1
125.5714286,1
99.42857143,1
105.8571429,1
150,1
112.2857143,1
129.1428571,1
102.7142857,1
133.8571429,1
110.7142857,1
106.7142857,1
80.28571429,1
102.1428571,1
148.8571429,1
69.14285714,1
89.28571429,1
123.2857143,1
97.14285714,1
128.4285714,1
98.85714286,1
103.7142857,1
121,1
126.8571429,1
158,1
100.7142857,1
82.85714286,1
165.8571429,1
146.8571429,1
135.1428571,1
102.1428571,1
140.2857143,1
76.28571429,1
169.7142857,1
144.1428571,1
122.2857143,1
130.8571429,1
123.5714286,1
122.8571429,1
114.4285714,1
142,1
145.8571429,1
113,1
105.8571429,1
142,1
121.4285714,1
150.2857143,1
154,1
135,1
140.7142857,1
17.71428571,0
86.28571429,1
141.1428571,1
17.71428571,0
118.7142857,1
114.7142857,1
24.42857143,0
24.42857143,0
24.42857143,0
24.42857143,0
139,1
144.2857143,1
143.5714286,1
91.14285714,1
129.8571429,1
156.1428571,1
158.7142857,1
127.4285714,1
38.57142857,0
38.57142857,0
38.57142857,0
38.57142857,0
113.2857143,1
104.1428571,1
114,1
78,1
145.8571429,1
165.5714286,1
136.8571429,1
141.5714286,1
134.1428571,1
136.7142857,1
143.7142857,1
134.1428571,1
100.4285714,1
96.42857143,1
134.8571429,1
101.2857143,1
149.1428571,1
168.2857143,1
160.8571429,1
96.14285714,1
137,1
132.7142857,1
134,1
131.4285714,1
70.85714286,1
124,1
121.1428571,1
160.7142857,1
91.57142857,0
91.57142857,0
91.57142857,0
143.7142857,0
119.2857143,1
114.7142857,1
135,1
163.7142857,1
95,1
172.8571429,1
160.2857143,1
83.28571429,1
129.5714286,1
126.7142857,1
87.57142857,1
129.2857143,1
122.5714286,1
100.4285714,1
114.8571429,1
131.7142857,1
158.7142857,1
91,1
61,1
148.4285714,1
147.4285714,1
132.4285714,1
114.2857143,1
101.2857143,1
127.5714286,1
148.1428571,1
134.5714286,1
123,1
130.1428571,1
146,1
150,1
81.14285714,1
103.1428571,1
98.14285714,1
72,1
110.2857143,1
118,1
138.7142857,1
144,1
133.7142857,1
148,1
109.1428571,1
129.4285714,1
131.2857143,1
149.7142857,1
134.4285714,1
