death times,events
9.11379611111,1.0
41.1142222222,1.0
82.1148733333,1.0
78.1149483333,1.0
71.1147058333,1.0
55.1145975,1.0
69.1148316667,1.0
66.1145283333,1.0
87.1152355556,1.0
64.1154291667,1.0
69.1148316667,1.0
21.1138786111,1.0
79.1150472222,1.0
67.1149605556,1.0
63.1147752778,1.0
56.1144697222,1.0
95.1152672222,1.0
64.1154291667,1.0
62.1146975,1.0
73.1147755556,1.0
36.1143233333,1.0
64.1154291667,1.0
51.1145494444,1.0
64.1154291667,1.0
54.1144991667,1.0
62.1146975,1.0
84.1150666667,1.0
78.1149483333,1.0
79.1150472222,1.0
62.1146975,1.0
70.1149341667,1.0
85.1151602778,1.0
81.114935,1.0
84.1150666667,1.0
50.1145241667,1.0
65.1146030556,1.0
48.1145938889,1.0
29.1141516667,1.0
62.1146975,1.0
31.1142261111,1.0
18.1140838889,1.0
73.1147755556,1.0
78.1149483333,1.0
9.11379611111,1.0
74.1149122222,1.0
99.1155025,1.0
52.1142138889,1.0
72.1147488889,1.0
91.1153175,1.0
72.1147488889,1.0
49.1144083333,1.0
66.1145283333,1.0
7.11380166667,1.0
93.1150977778,1.0
40.1141561111,1.0
81.114935,1.0
93.1150977778,1.0
76.1143972222,1.0
87.1152355556,1.0
22.1139919444,1.0
9.11379611111,1.0
88.1152227778,1.0
16.1137805556,1.0
44.115165,1.0
94.1153427778,1.0
77.1149158333,1.0
45.1146786111,1.0
20.1141477778,1.0
53.1144116667,1.0
65.1146030556,1.0
62.1146975,1.0
53.1144116667,1.0
70.1149341667,1.0
50.1145241667,1.0
66.1145283333,1.0
80.1148719444,1.0
74.1149122222,1.0
32.114195,1.0
79.1150472222,1.0
65.1146030556,1.0
88.1152227778,1.0
55.1145975,1.0
34.1149413889,1.0
61.1145291667,1.0
74.1149122222,1.0
84.1150666667,1.0
99.1155025,1.0
61.1145291667,1.0
48.1145938889,1.0
99.1155025,1.0
81.114935,1.0
23.1137205556,1.0
68.1155475,1.0
107.115550556,1.0
91.1153175,1.0
6.11389,1.0
86.1152225,1.0
68.1155475,1.0
