,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,308872.588,"[82258.079, 112116.677]",339261.093,"[307746.434, 374002.999]","[253227.563, 399119.03]","[171453.702, 552381.587]",352788.914,396461.039
beta/eta,2737.203,"[373.873, 433.018]",2683.418,"[2573.268, 2798.282]","[2366.348, 3042.971]","[2001.086, 3598.41]",2528.481,2368.411
xc^2/epsilon,661.01,"[196.138, 278.893]",760.991,"[675.402, 817.466]","[532.02, 899.338]","[330.111, 1256.061]",773.399,886.877
xc,64.046,"[41.211, 115.588]",73.038,"[54.219, 90.36]","[35.423, 163.976]","[8.332, 418.281]",166.491,458.389
eta,0.000188,"[0.000125, 0.000372]",0.000293,"[0.000277, 0.000476]","[0.000161, 0.000819]","[2.29e-05, 0.00113]",0.000472,3.95e-05
beta,0.52,"[0.347, 1.045]",1.886,"[1.606, 2.742]","[0.551, 2.742]","[0.0648, 2.742]",1.193,0.108
epsilon,4.987,"[4.393, 36.86]",26.209,"[11.731, 34.262]","[2.81, 70.003]","[0.0789, 204.444]",35.841,0.239
sqrt(xc/eta),560.235,"[79.719, 92.945]",563.837,"[554.749, 592.003]","[519.839, 652.627]","[414.07, 743.224]",593.96,584.688
s= eta^0.5*xc^1.5/epsilon,1.201,"[0.217, 0.266]",1.285,"[1.218, 1.355]","[1.095, 1.455]","[0.795, 1.738]",1.302,1.306
beta*xc/epsilon,5.821,"[0.579, 0.642]",5.894,"[5.678, 6.118]","[5.678, 6.591]","[4.541, 7.101]",5.543,6.109
eta*xc/epsilon,0.00214,"[0.000149, 0.00016]",0.00209,"[0.00203, 0.00214]","[0.00203, 0.00226]","[0.00183, 0.00251]",0.00219,0.00204
Fx=beta^2/eta*xc,24.004,"[10.732, 19.411]",24.695,"[19.054, 26.925]","[13.484, 32.007]","[8.027, 75.975]",18.122,26.859
Dx =beta*epsilon/eta*xc^2,4.111,"[1.609, 2.645]",3.456,"[3.265, 4.097]","[2.602, 5.758]","[1.653, 11.374]",3.269,4.602
Pk=beta*k/epsilon,0.0496,"[0.0335, 0.103]",0.0612,"[0.0439, 0.0748]","[0.0173, 0.0975]","[0.00597, 0.421]",0.0166,0.226
Fk=beta^2/eta*k,2967.913,"[2042.599, 6551.57]",8181.888,"[7497.97, 12659.097]","[2630.423, 15073.789]","[323.735, 17949.076]",6034.273,590.28
Dk =beta*epsilon/eta*k^2,58370.231,"[51735.405, 455144.96]",232266.557,"[142042.101, 379801.152]","[43636.515, 1015536.342]","[1039.253, 2230523.602]",362490.627,2608.542
Fk^2/Dk=beta^3/eta*epsilon,148.477,"[75.739, 154.601]",138.157,"[122.316, 199.09]","[75.148, 253.999]","[36.188, 672.921]",100.451,133.573
epsilon/beta^2,18.568,"[8.072, 14.279]",17.473,"[15.972, 22.877]","[13.345, 32.767]","[5.435, 56.171]",25.171,19.096
k/beta,0.975,"[0.653, 1.973]",1.634,"[0.907, 1.724]","[0.311, 1.724]","[0.182, 7.713]",0.419,1.55
k^2/epsilon,0.051,"[0.0451, 0.385]",0.0136,"[0.00729, 0.0213]","[0.00357, 0.0888]","[0.00122, 3.163]",0.00698,0.126
eta/xc,3.23e-06,"[8.62e-07, 1.18e-06]",2.95e-06,"[2.67e-06, 3.25e-06]","[2.51e-06, 3.95e-06]","[1.81e-06, 5.83e-06]",2.83e-06,3.5e-06
beta/xc,0.00882,"[0.00318, 0.00497]",0.00776,"[0.00735, 0.00911]","[0.00593, 0.0113]","[0.00386, 0.0215]",0.00717,0.0102
epsilon/xc^2,0.00151,"[0.000449, 0.000639]",0.00131,"[0.00117, 0.00141]","[0.00111, 0.00188]","[0.000796, 0.00303]",0.00129,0.00163
k/xc,0.00803,"[0.00519, 0.0147]",0.00684,"[0.00467, 0.00778]","[0.00305, 0.0154]","[0.00119, 0.06]",0.003,0.021
best fit no ext hazard_MedianLifetime,1492.42,185.07999999999993,1492.42,"[1312.4, 1677.5]","[1312.4, 1677.5]","[1312.4, 1677.5]",1492.42,
best fit no ext hazard_MaxLifetime,3650.0,0,3650.0,"[3650.0, 3650.0]","[3650.0, 3650.0]","[3650.0, 3650.0]",3650.0,
best fit_MedianLifetime,1496.07,184.97000000000003,1496.07,"[1316.1599999999999, 1681.04]","[1316.1599999999999, 1681.04]","[1316.1599999999999, 1681.04]",1496.07,
best fit_MaxLifetime,3650.0,0,3650.0,"[3650.0, 3650.0]","[3650.0, 3650.0]","[3650.0, 3650.0]",3650.0,
data_MedianLifetime,1468.99,196.02999999999997,1468.99,"[1300.48, 1665.02]","[1300.48, 1665.02]","[1300.48, 1665.02]",1468.99,
data_MaxLifetime,3649.5,0,3649.5,"[3649.5, 3649.5]","[3649.5, 3649.5]","[3649.5, 3649.5]",3649.5,
ML_lnprob,-4923.7407795883355,"[-4923.7407795883355, -4923.7407795883355]",-4923.7407795883355,"[-4923.7407795883355, -4923.7407795883355]","[-4923.7407795883355, -4923.7407795883355]","[-4923.7407795883355, -4923.7407795883355]",-4923.7407795883355,-4923.7407795883355
