,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,583.353,"[27.483, 28.841]",596.01,"[589.107, 602.994]","[575.54, 602.994]","[524.325, 617.208]",585.064,554.274
beta/eta,0.282,"[0.213, 0.864]",0.603,"[0.326, 0.628]","[0.156, 1.209]","[0.0171, 3.803]",0.702,1.403
xc^2/epsilon,456.734,"[28.255, 30.118]",472.371,"[464.411, 480.466]","[448.893, 480.466]","[405.382, 514.259]",454.47,431.02
xc,4147.123,"[3345.529, 17308.415]",4331.645,"[2860.548, 5981.515]","[2608.579, 23850.072]","[197.305, 49871.4]",24244.711,3158.555
eta,4.351,"[3.702, 24.819]",4.72,"[3.406, 7.882]","[3.406, 50.86]","[0.119, 88.979]",41.439,0.47
beta,0.885,"[0.764, 5.578]",0.816,"[0.477, 1.099]","[0.233, 4.608]","[0.0271, 50.196]",29.092,0.158
epsilon,14053.337,"[13742.587, 621493.619]",390906.247,"[136759.557, 762654.016]","[7798.443, 1636995.578]","[9.76, 6230995.089]",1293388.112,154.881
sqrt(xc/eta),24.142,"[0.58, 0.594]",24.413,"[24.272, 24.556]","[23.99, 24.556]","[22.898, 24.844]",24.188,24.507
s= eta^0.5*xc^1.5/epsilon,18.904,"[0.907, 0.953]",18.961,"[18.722, 19.204]","[18.251, 19.699]","[16.909, 20.728]",18.789,19.239
beta*xc/epsilon,0.232,"[0.174, 0.693]",0.308,"[0.248, 0.455]","[0.124, 0.912]","[0.0141, 2.823]",0.545,0.0573
eta*xc/epsilon,0.784,"[0.0335, 0.035]",0.775,"[0.767, 0.783]","[0.767, 0.814]","[0.709, 0.847]",0.777,0.811
Fx=beta^2/eta*xc,0.000147,"[0.000137, 0.00222]",0.00014,"[0.000128, 0.000458]","[6.18e-05, 0.00339]","[5.45e-07, 0.0251]",0.000842,0.000131
Dx =beta*epsilon/eta*xc^2,0.000639,"[0.000483, 0.00198]",0.00122,"[0.000821, 0.00162]","[0.000333, 0.00254]","[3.49e-05, 0.00878]",0.00154,0.00058
Pk=beta*k/epsilon,2.89e-05,"[2.7e-05, 0.000402]",9.01e-06,"[3.03e-06, 9.79e-06]","[2.17e-06, 0.000102]","[2.08e-07, 0.0048]",1.12e-05,0.000382
Fk=beta^2/eta*k,0.505,"[0.477, 8.785]",0.21,"[0.157, 0.611]","[0.0718, 5.204]","[0.00319, 142.425]",40.847,1.22
Dk =beta*epsilon/eta*k^2,18714.708,"[18097.503, 548747.366]",204956.033,"[65950.958, 279230.217]","[5556.578, 636942.612]","[26.116, 7559863.858]",3632023.408,213861.171
Fk^2/Dk=beta^3/eta*epsilon,1.38e-05,"[1.36e-05, 0.00117]",2.19e-06,"[1.48e-06, 1.57e-05]","[1.48e-06, 0.00136]","[2.72e-09, 0.0413]",0.000459,4.11e-08
epsilon/beta^2,15487.967,"[14700.27, 289041.55]",8720.207,"[3159.485, 11502.046]","[867.876, 72850.164]","[65.485, 5084379.976]",1528.205,759530.949
k/beta,0.446,"[0.383, 2.728]",0.613,"[0.358, 0.93]","[0.0673, 1.331]","[0.00995, 12.869]",0.0172,0.333
k^2/epsilon,1.28e-05,"[1.25e-05, 0.000496]",1.13e-06,"[3.96e-07, 1.83e-06]","[2.23e-07, 3.2e-05]","[4.85e-08, 0.0144]",1.93e-07,1.46e-07
eta/xc,0.00171,"[8.23e-05, 8.65e-05]",0.00168,"[0.00166, 0.0017]","[0.00166, 0.00174]","[0.00162, 0.00191]",0.00171,0.00166
beta/xc,0.00047,"[0.000361, 0.00155]",0.000605,"[0.000469, 0.000957]","[0.00023, 0.00195]","[2.7e-05, 0.00814]",0.0012,0.000122
epsilon/xc^2,0.00219,"[0.000138, 0.000147]",0.00212,"[0.00208, 0.00215]","[0.00208, 0.00223]","[0.00194, 0.00247]",0.0022,0.00212
k/xc,0.000127,"[0.000103, 0.000548]",0.000115,"[8.36e-05, 0.000175]","[2.1e-05, 0.00021]","[1e-05, 0.00278]",2.06e-05,0.000118
best fit no ext hazard_MedianLifetime,31.59,0.5100000000000016,31.59,"[31.1, 32.1]","[31.1, 32.1]","[31.1, 32.1]",31.59,
best fit no ext hazard_MaxLifetime,53.83,0,53.83,"[53.83, 53.83]","[53.83, 53.83]","[53.83, 53.83]",53.83,
best fit_MedianLifetime,31.43,0.5100000000000016,31.43,"[30.94, 31.94]","[30.94, 31.94]","[30.94, 31.94]",31.43,
best fit_MaxLifetime,55.75,0,55.75,"[55.75, 55.75]","[55.75, 55.75]","[55.75, 55.75]",55.75,
data_MedianLifetime,31.0,0.48999999999999844,31.0,"[30.57, 31.49]","[30.57, 31.49]","[30.57, 31.49]",31.0,
data_MaxLifetime,53.0,0,53.0,"[53.0, 53.0]","[53.0, 53.0]","[53.0, 53.0]",53.0,
ML_lnprob,-2812.1069542078462,"[-2812.1069542078462, -2812.1069542078462]",-2812.1069542078462,"[-2812.1069542078462, -2812.1069542078462]","[-2812.1069542078462, -2812.1069542078462]","[-2812.1069542078462, -2812.1069542078462]",-2812.1069542078462,-2812.1069542078462
