,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,556069.234,"[3.21e-06, 3.21e-06]",919654.343,"[891186.586, 949031.463]","[891186.586, 949031.463]","[836867.44, 949031.463]",561380.481,556069.234
beta/eta,42080.554,"[4.26e-08, 4.26e-08]",39576.404,"[39274.051, 39881.086]","[39274.051, 39881.086]","[39274.051, 40497.503]",41941.916,42080.554
xc^2/epsilon,406.542,"[1.51e-09, 1.51e-09]",567.076,"[553.755, 580.718]","[553.755, 580.718]","[553.755, 608.995]",402.789,406.542
xc,6.315,"[7.62e-11, 7.62e-11]",12.379,"[11.869, 12.911]","[11.869, 12.911]","[10.911, 12.911]",6.154,6.315
eta,1.09e-05,"[9.07e-13, 9.07e-13]",1.59e-05,"[1.54e-05, 1.64e-05]","[1.54e-05, 1.64e-05]","[1.54e-05, 1.74e-05]",1.1e-05,1.09e-05
beta,0.458,"[3.13e-08, 3.13e-08]",0.657,"[0.64, 0.674]","[0.64, 0.674]","[0.608, 0.674]",0.46,0.458
epsilon,0.0956,"[2.34e-08, 2.34e-08]",0.347,"[0.32, 0.376]","[0.32, 0.376]","[0.273, 0.376]",0.094,0.0956
sqrt(xc/eta),745.7,"[4.96e-08, 4.96e-08]",958.986,"[944.027, 974.182]","[944.027, 974.182]","[914.805, 974.182]",749.253,745.7
s= eta^0.5*xc^1.5/epsilon,0.535,"[9.01e-12, 9.01e-12]",0.535,"[0.525, 0.546]","[0.525, 0.546]","[0.525, 0.568]",0.538,0.535
beta*xc/epsilon,30.904,"[3e-09, 3e-09]",24.568,"[23.873, 25.282]","[23.873, 25.282]","[23.873, 25.282]",30.093,30.904
eta*xc/epsilon,0.000706,"[1.28e-15, 1.28e-15]",0.000673,"[0.000657, 0.000689]","[0.000657, 0.000689]","[0.000626, 0.000689]",0.000717,0.000706
Fx=beta^2/eta*xc,3203.982,"[2.52e-08, 2.52e-08]",1583.517,"[1515.282, 1654.825]","[1515.282, 1654.825]","[1515.282, 1807.217]",3133.569,3203.982
Dx =beta*epsilon/eta*xc^2,104.753,"[5.14e-10, 5.14e-10]",67.457,"[65.627, 69.339]","[65.627, 69.339]","[65.627, 69.339]",104.129,104.753
Pk=beta*k/epsilon,2.46,"[4.62e-07, 4.62e-07]",0.917,"[0.855, 0.984]","[0.855, 0.984]","[0.855, 0.984]",2.445,2.46
Fk=beta^2/eta*k,37767.583,"[0.00225, 0.00225]",46517.396,"[45321.405, 47744.947]","[45321.405, 47744.947]","[45321.405, 50298.087]",38568.658,37767.583
Dk =beta*epsilon/eta*k^2,16204.82,"[0.000321, 0.000321]",53696.852,"[49822.991, 57871.917]","[49822.991, 57871.917]","[42893.523, 57871.917]",15774.7,16204.82
Fk^2/Dk=beta^3/eta*epsilon,98330.49,"[0.00118, 0.00118]",41247.777,"[38367.183, 44344.646]","[38367.183, 44344.646]","[38367.183, 44344.646]",94299.188,98330.49
epsilon/beta^2,0.424,"[4.63e-09, 4.63e-09]",0.935,"[0.875, 0.999]","[0.875, 0.999]","[0.875, 0.999]",0.445,0.424
k/beta,1.091,"[6.5e-09, 6.5e-09]",0.761,"[0.742, 0.781]","[0.742, 0.781]","[0.742, 0.822]",1.087,1.091
k^2/epsilon,2.612,"[5.58e-08, 5.58e-08]",0.719,"[0.663, 0.779]","[0.663, 0.779]","[0.663, 0.916]",2.659,2.612
eta/xc,1.8e-06,"[1.04e-17, 1.04e-17]",1.09e-06,"[1.05e-06, 1.12e-06]","[1.05e-06, 1.12e-06]","[1.05e-06, 1.19e-06]",1.78e-06,1.8e-06
beta/xc,0.0759,"[5.24e-13, 5.24e-13]",0.0483,"[0.0465, 0.0501]","[0.0465, 0.0501]","[0.0465, 0.0501]",0.0747,0.0759
epsilon/xc^2,0.00246,"[9.13e-15, 9.13e-15]",0.00176,"[0.00172, 0.00181]","[0.00172, 0.00181]","[0.00164, 0.00181]",0.00248,0.00246
k/xc,0.0791,"[9.55e-13, 9.55e-13]",0.0404,"[0.0387, 0.0421]","[0.0387, 0.0421]","[0.0356, 0.0421]",0.0812,0.0791
best fit no ext hazard_MedianLifetime,27532.35,185.09000000000015,27532.35,"[27352.309999999998, 27717.44]","[27352.309999999998, 27717.44]","[27352.309999999998, 27717.44]",27532.35,
best fit no ext hazard_MaxLifetime,38752.5,0,38752.5,"[38752.5, 38752.5]","[38752.5, 38752.5]","[38752.5, 38752.5]",38752.5,
best fit_MedianLifetime,26648.87,184.88999999999942,26648.87,"[26469.03, 26833.76]","[26469.03, 26833.76]","[26469.03, 26833.76]",26648.87,
best fit_MaxLifetime,38399.11,0,38399.11,"[38399.11, 38399.11]","[38399.11, 38399.11]","[38399.11, 38399.11]",38399.11,
data_MedianLifetime,26462.5,181.90000000000146,26462.5,"[26282.86, 26644.4]","[26282.86, 26644.4]","[26282.86, 26644.4]",26462.5,
data_MaxLifetime,39237.5,0,39237.5,"[39237.5, 39237.5]","[39237.5, 39237.5]","[39237.5, 39237.5]",39237.5,
