,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,312.364,"[45.172, 52.809]",369.203,"[351.239, 375.394]","[307.491, 388.087]","[227.956, 401.21]",264.334,299.784
beta/eta,2.313,"[1.533, 4.551]",5.196,"[4.707, 6.545]","[2.777, 7.977]","[0.212, 10.384]",5.961,3.744
xc^2/epsilon,110.191,"[14.573, 16.794]",126.992,"[120.353, 129.285]","[108.098, 133.997]","[81.18, 138.88]",96.471,111.104
xc,901.822,"[725.507, 3710.847]",1013.268,"[809.477, 1660.612]","[301.381, 3114.039]","[41.777, 26885.351]",1627.92,197.03
eta,1.976,"[1.638, 9.584]",3.824,"[1.837, 4.015]","[0.516, 6.545]","[0.0806, 61.954]",6.159,0.195
beta,4.033,"[3.164, 14.677]",5.073,"[3.385, 6.948]","[2.16, 22.354]","[0.273, 50.196]",36.709,1.669
epsilon,3442.114,"[3349.366, 124304.09]",7697.876,"[1997.853, 10081.668]","[192.825, 35504.709]","[3.688, 2659926.484]",27470.697,25.586
sqrt(xc/eta),17.654,"[1.32, 1.427]",19.215,"[18.741, 19.375]","[17.535, 19.7]","[15.098, 19.7]",16.258,17.314
s= eta^0.5*xc^1.5/epsilon,6.225,"[0.429, 0.46]",6.483,"[6.397, 6.57]","[6.065, 6.747]","[5.308, 7.117]",5.934,6.417
beta*xc/epsilon,0.834,"[0.554, 1.648]",1.838,"[1.647, 2.206]","[0.988, 2.955]","[0.0765, 3.679]",2.175,1.388
eta*xc/epsilon,0.353,"[0.0164, 0.0172]",0.357,"[0.352, 0.362]","[0.342, 0.372]","[0.323, 0.394]",0.365,0.334
Fx=beta^2/eta*xc,0.0169,"[0.0153, 0.162]",0.0894,"[0.0707, 0.155]","[0.0236, 0.289]","[9.88e-05, 0.463]",0.134,0.0388
Dx =beta*epsilon/eta*xc^2,0.0209,"[0.0148, 0.0508]",0.0512,"[0.0441, 0.0656]","[0.022, 0.0884]","[0.00151, 0.131]",0.0618,0.0327
Pk=beta*k/epsilon,0.000504,"[0.00047, 0.00716]",0.0027,"[0.00104, 0.00291]","[0.000323, 0.0109]","[2.21e-06, 0.0472]",0.000668,0.0326
Fk=beta^2/eta*k,18.386,"[16.084, 128.419]",50.718,"[29.896, 73.98]","[8.932, 157.41]","[0.322, 712.625]",437.612,28.57
Dk =beta*epsilon/eta*k^2,37528.481,"[35639.429, 708023.88]",103302.36,"[27661.038, 112787.169]","[9639.956, 779018.247]","[119.29, 9114487.958]",654966.76,160988.632
Fk^2/Dk=beta^3/eta*epsilon,0.00959,"[0.00936, 0.396]",0.144,"[0.102, 0.32]","[0.0208, 0.999]","[2.88e-06, 1.575]",0.292,0.129
epsilon/beta^2,213.664,"[198.746, 2846.572]",29.538,"[19.536, 37.854]","[8.545, 120.465]","[5.203, 54731.02]",20.386,9.187
k/beta,0.134,"[0.104, 0.462]",0.0985,"[0.0719, 0.148]","[0.035, 0.303]","[0.00995, 1.828]",0.0136,0.3
k^2/epsilon,8.43e-05,"[8.2e-05, 0.00309]",7.98e-05,"[5.09e-05, 0.000215]","[1.73e-05, 0.00223]","[4.57e-08, 0.0396]",9.1e-06,0.00977
eta/xc,0.00321,"[0.000472, 0.000554]",0.00271,"[0.00266, 0.00285]","[0.00258, 0.00325]","[0.00249, 0.00439]",0.00378,0.00334
beta/xc,0.00746,"[0.00532, 0.0186]",0.0164,"[0.0157, 0.0228]","[0.00812, 0.0333]","[0.000532, 0.0484]",0.0225,0.0125
epsilon/xc^2,0.00911,"[0.00123, 0.00142]",0.00787,"[0.00773, 0.00831]","[0.00746, 0.00925]","[0.0072, 0.0123]",0.0104,0.009
k/xc,0.000597,"[0.000484, 0.00256]",0.000493,"[0.000472, 0.000968]","[0.000192, 0.00199]","[1.86e-05, 0.0143]",0.000307,0.00254
best fit no ext hazard_MedianLifetime,21.72,0.5100000000000016,21.72,"[21.23, 22.23]","[21.23, 22.23]","[21.23, 22.23]",21.72,
best fit no ext hazard_MaxLifetime,53.05,0,53.05,"[53.05, 53.05]","[53.05, 53.05]","[53.05, 53.05]",53.05,
best fit_MedianLifetime,21.82,0.5100000000000016,21.82,"[21.330000000000002, 22.330000000000002]","[21.330000000000002, 22.330000000000002]","[21.330000000000002, 22.330000000000002]",21.82,
best fit_MaxLifetime,46.45,0,46.45,"[46.45, 46.45]","[46.45, 46.45]","[46.45, 46.45]",46.45,
data_MedianLifetime,22.0,0.5599999999999987,22.0,"[21.5, 22.56]","[21.5, 22.56]","[21.5, 22.56]",22.0,
data_MaxLifetime,47.0,0,47.0,"[47.0, 47.0]","[47.0, 47.0]","[47.0, 47.0]",47.0,
ML_lnprob,-3412.844186794696,"[-3412.844186794696, -3412.844186794696]",-3412.844186794696,"[-3412.844186794696, -3412.844186794696]","[-3412.844186794696, -3412.844186794696]","[-3412.844186794696, -3412.844186794696]",-3412.844186794696,-3412.844186794696
