,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,8.341,"[0.299, 0.31]",8.195,"[8.184, 8.206]","[8.184, 8.206]","[8.163, 9.015]",8.194,8.194
beta/eta,0.144,"[0.0964, 0.293]",0.247,"[0.236, 0.258]","[0.236, 0.258]","[0.0137, 0.308]",0.249,0.249
xc^2/epsilon,15.78,"[0.435, 0.448]",15.568,"[15.541, 15.595]","[15.541, 15.595]","[15.273, 16.721]",15.555,15.555
xc,5111.222,"[1849.278, 2897.679]",6139.051,"[5875.498, 6414.426]","[5875.498, 6414.426]","[2667.026, 12943.813]",6101.382,6101.382
eta,763.468,"[7.608, 7.684]",763.492,"[730.316, 798.176]","[730.316, 798.176]","[730.316, 798.176]",744.612,744.612
beta,194.152,"[4.946, 5.075]",194.169,"[179.513, 210.021]","[179.513, 210.021]","[179.513, 210.021]",185.408,185.408
epsilon,2419379.292,"[47285.821, 48228.427]",2419530.619,"[2214713.677, 2643289.052]","[2214713.677, 2643289.052]","[2214713.677, 2643289.052]",2393175.047,2393175.047
sqrt(xc/eta),2.888,"[0.0522, 0.0531]",2.863,"[2.861, 2.865]","[2.861, 2.865]","[2.857, 3.002]",2.863,2.863
s= eta^0.5*xc^1.5/epsilon,5.463,"[0.0589, 0.0596]",5.436,"[5.426, 5.447]","[5.426, 5.447]","[5.405, 5.575]",5.434,5.434
beta*xc/epsilon,0.274,"[0.186, 0.577]",0.474,"[0.453, 0.496]","[0.453, 0.496]","[0.0248, 0.595]",0.473,0.473
eta*xc/epsilon,1.891,"[0.0185, 0.0186]",1.898,"[1.894, 1.902]","[1.894, 1.902]","[1.851, 1.902]",1.898,1.898
Fx=beta^2/eta*xc,0.00255,"[0.00229, 0.0217]",0.00762,"[0.00696, 0.00834]","[0.00696, 0.00834]","[2.21e-05, 0.0119]",0.00757,0.00757
Dx =beta*epsilon/eta*xc^2,0.00918,"[0.00628, 0.0199]",0.0161,"[0.0154, 0.0168]","[0.0154, 0.0168]","[0.000808, 0.0201]",0.016,0.016
Pk=beta*k/epsilon,3.99e-05,"[7.41e-07, 7.55e-07]",3.99e-05,"[3.72e-05, 4.28e-05]","[3.72e-05, 4.28e-05]","[3.72e-05, 4.28e-05]",3.87e-05,3.87e-05
Fk=beta^2/eta*k,87.12,"[6.284, 6.773]",87.172,"[77.17, 98.47]","[77.17, 98.47]","[77.17, 98.47]",92.333,92.333
Dk =beta*epsilon/eta*k^2,2262802.49,"[124325.729, 131553.718]",2263741.357,"[2021626.313, 2534852.707]","[2021626.313, 2534852.707]","[2021626.313, 2534852.707]",2383594.005,2383594.005
Fk^2/Dk=beta^3/eta*epsilon,0.00361,"[0.000243, 0.000261]",0.00361,"[0.00316, 0.00414]","[0.00316, 0.00414]","[0.00316, 0.00414]",0.00358,0.00358
epsilon/beta^2,68.219,"[1.84, 1.891]",68.208,"[62.28, 74.7]","[62.28, 74.7]","[62.28, 74.7]",69.618,69.618
k/beta,0.00257,"[6.83e-05, 7.01e-05]",0.00257,"[0.00238, 0.00278]","[0.00238, 0.00278]","[0.00238, 0.00278]",0.0027,0.0027
k^2/epsilon,1.03e-07,"[2.64e-09, 2.71e-09]",1.03e-07,"[9.44e-08, 1.13e-07]","[9.44e-08, 1.13e-07]","[9.44e-08, 1.13e-07]",1.04e-07,1.04e-07
eta/xc,0.12,"[0.00429, 0.00445]",0.122,"[0.122, 0.122]","[0.122, 0.122]","[0.111, 0.123]",0.122,0.122
beta/xc,0.0178,"[0.0121, 0.0379]",0.0309,"[0.0295, 0.0323]","[0.0295, 0.0323]","[0.0016, 0.0388]",0.0304,0.0304
epsilon/xc^2,0.0634,"[0.00175, 0.0018]",0.0642,"[0.0641, 0.0643]","[0.0641, 0.0643]","[0.0598, 0.0655]",0.0643,0.0643
k/xc,9.78e-05,"[3.54e-05, 5.54e-05]",8.14e-05,"[7.79e-05, 8.51e-05]","[7.79e-05, 8.51e-05]","[3.86e-05, 0.000187]",8.19e-05,8.19e-05
best fit no ext hazard_MedianLifetime,3.18,0.06300000000000017,3.18,"[3.1180000000000003, 3.2430000000000003]","[3.1180000000000003, 3.2430000000000003]","[3.1180000000000003, 3.2430000000000003]",3.18,
best fit no ext hazard_MaxLifetime,8.19,0,8.19,"[8.19, 8.19]","[8.19, 8.19]","[8.19, 8.19]",8.19,
best fit_MedianLifetime,3.16,0.06300000000000017,3.16,"[3.0980000000000003, 3.2230000000000003]","[3.0980000000000003, 3.2230000000000003]","[3.0980000000000003, 3.2230000000000003]",3.16,
best fit_MaxLifetime,8.04,0,8.04,"[8.04, 8.04]","[8.04, 8.04]","[8.04, 8.04]",8.04,
data_MedianLifetime,3.25,0.06099999999999994,3.25,"[3.191, 3.311]","[3.191, 3.311]","[3.191, 3.311]",3.25,
data_MaxLifetime,7.88,0,7.88,"[7.88, 7.88]","[7.88, 7.88]","[7.88, 7.88]",7.88,
ML_lnprob,-90121.12894204134,"[-90121.12894204134, -90121.12894204134]",-90121.12894204134,"[-90121.12894204134, -90121.12894204134]","[-90121.12894204134, -90121.12894204134]","[-90121.12894204134, -90121.12894204134]",-90121.12894204134,-90121.12894204134
