,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,673775.549,"[115.981, 116.001]",673775.535,"[658147.006, 689775.182]","[658147.006, 689775.182]","[658147.006, 689775.182]",662841.064,662841.064
beta/eta,55627.555,"[1.842, 1.842]",55627.555,"[54824.444, 56442.43]","[54824.444, 56442.43]","[54824.444, 56442.43]",55698.103,55698.103
xc^2/epsilon,226.008,"[0.0396, 0.0396]",226.008,"[220.283, 231.882]","[220.283, 231.882]","[220.283, 231.882]",221.602,221.602
xc,9.597,"[0.0018, 0.0018]",9.597,"[9.247, 9.96]","[9.247, 9.96]","[9.247, 9.96]",9.473,9.473
ExtH,8.212,"[1.53e-05, 1.53e-05]",8.212,"[8.205, 8.218]","[8.205, 8.218]","[8.205, 8.218]",8.208,8.208
eta,1.43e-05,"[1.38e-10, 1.38e-10]",1.43e-05,"[1.37e-05, 1.48e-05]","[1.37e-05, 1.48e-05]","[1.37e-05, 1.48e-05]",1.43e-05,1.43e-05
beta,0.786,"[1.35e-05, 1.35e-05]",0.786,"[0.76, 0.813]","[0.76, 0.813]","[0.76, 0.813]",0.796,0.796
epsilon,0.382,"[7.35e-05, 7.36e-05]",0.382,"[0.354, 0.413]","[0.354, 0.413]","[0.354, 0.413]",0.405,0.405
sqrt(xc/eta),820.838,"[0.0707, 0.0707]",820.838,"[811.263, 830.527]","[811.263, 830.527]","[811.263, 830.527]",814.151,814.151
s= eta^0.5*xc^1.5/epsilon,0.271,"[2.59e-05, 2.59e-05]",0.271,"[0.267, 0.276]","[0.267, 0.276]","[0.267, 0.276]",0.272,0.272
beta*xc/epsilon,18.431,"[0.000442, 0.000442]",18.431,"[18.183, 18.682]","[18.183, 18.682]","[18.183, 18.682]",18.621,18.621
eta*xc/epsilon,0.000333,"[2.77e-09, 2.77e-09]",0.000333,"[0.00033, 0.000335]","[0.00033, 0.000335]","[0.00033, 0.000335]",0.000334,0.000334
Fx=beta^2/eta*xc,4588.093,"[1.065, 1.065]",4588.093,"[4382.395, 4803.446]","[4382.395, 4803.446]","[4382.395, 4803.446]",4680.275,4680.275
Dx =beta*epsilon/eta*xc^2,250.745,"[0.0533, 0.0533]",250.745,"[241.755, 260.07]","[241.755, 260.07]","[241.755, 260.07]",251.343,251.343
Pk=beta*k/epsilon,1.018,"[0.000219, 0.000219]",1.018,"[0.968, 1.07]","[0.968, 1.07]","[0.968, 1.07]",0.983,0.983
Fk=beta^2/eta*k,90913.115,"[5.355, 5.355]",90913.116,"[87938.461, 93988.392]","[87938.461, 93988.392]","[87938.461, 93988.392]",88671.272,88671.272
Dk =beta*epsilon/eta*k^2,93420.731,"[15.247, 15.249]",93420.729,"[86957.043, 100364.873]","[86957.043, 100364.873]","[86957.043, 100364.873]",90217.239,90217.239
Fk^2/Dk=beta^3/eta*epsilon,84499.673,"[22.29, 22.296]",84499.676,"[79742.525, 89540.62]","[79742.525, 89540.62]","[79742.525, 89540.62]",87151.796,87151.796
epsilon/beta^2,0.644,"[0.000151, 0.000151]",0.644,"[0.617, 0.674]","[0.617, 0.674]","[0.617, 0.674]",0.639,0.639
k/beta,0.636,"[1.09e-05, 1.09e-05]",0.636,"[0.615, 0.658]","[0.615, 0.658]","[0.615, 0.658]",0.628,0.628
k^2/epsilon,0.653,"[0.000126, 0.000126]",0.653,"[0.605, 0.705]","[0.605, 0.705]","[0.605, 0.705]",0.617,0.617
eta/xc,1.48e-06,"[2.55e-10, 2.56e-10]",1.48e-06,"[1.45e-06, 1.52e-06]","[1.45e-06, 1.52e-06]","[1.45e-06, 1.52e-06]",1.51e-06,1.51e-06
beta/xc,0.0857,"[1.79e-05, 1.79e-05]",0.0857,"[0.083, 0.0884]","[0.083, 0.0884]","[0.083, 0.0884]",0.084,0.084
epsilon/xc^2,0.00442,"[7.75e-07, 7.75e-07]",0.00442,"[0.00431, 0.00454]","[0.00431, 0.00454]","[0.00431, 0.00454]",0.00451,0.00451
k/xc,0.0521,"[9.78e-06, 9.78e-06]",0.0521,"[0.0502, 0.054]","[0.0502, 0.054]","[0.0502, 0.054]",0.0528,0.0528
best fit no ext hazard_MedianLifetime,26785.41,185.04000000000087,26785.41,"[26605.43, 26970.45]","[26605.43, 26970.45]","[26605.43, 26970.45]",26785.41,
best fit no ext hazard_MaxLifetime,38792.66,0,38792.66,"[38792.66, 38792.66]","[38792.66, 38792.66]","[38792.66, 38792.66]",38792.66,
best fit_MedianLifetime,26656.9,185.15000000000146,26656.9,"[26476.81, 26842.050000000003]","[26476.81, 26842.050000000003]","[26476.81, 26842.050000000003]",26656.9,
best fit_MaxLifetime,38503.52,0,38503.52,"[38503.52, 38503.52]","[38503.52, 38503.52]","[38503.52, 38503.52]",38503.52,
data_MedianLifetime,25185.0,182.7599999999984,25185.0,"[25004.5, 25367.76]","[25004.5, 25367.76]","[25004.5, 25367.76]",25185.0,
data_MaxLifetime,37777.5,0,37777.5,"[37777.5, 37777.5]","[37777.5, 37777.5]","[37777.5, 37777.5]",37777.5,
ML_lnprob,-356549.77931334125,"[-356549.77931334125, -356549.77931334125]",-356549.77931334125,"[-356549.77931334125, -356549.77931334125]","[-356549.77931334125, -356549.77931334125]","[-356549.77931334125, -356549.77931334125]",-356549.77931334125,-356549.77931334125
