,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,388995.181,"[132405.509, 200729.455]",267851.417,"[261032.751, 274848.199]","[261032.751, 374524.525]","[261032.751, 770993.618]",270076.119,270076.119
beta/eta,10766.133,"[1377.266, 1579.299]",11837.63,"[11670.345, 12007.314]","[10414.418, 12007.314]","[4968.423, 13077.73]",11769.972,11769.972
xc^2/epsilon,444.742,"[148.421, 222.762]",317.062,"[308.8, 325.545]","[308.8, 402.115]","[224.941, 842.238]",325.284,325.284
xc,10.294,"[6.14, 15.219]",5.304,"[5.104, 5.511]","[4.055, 5.95]","[3.222, 59.354]",5.108,5.108
ExtH,4.663,"[0.0597, 0.0605]",4.627,"[4.618, 4.636]","[4.6, 4.636]","[4.565, 4.782]",4.622,4.622
eta,2.71e-05,"[1.42e-05, 3e-05]",1.92e-05,"[1.86e-05, 1.98e-05]","[1.86e-05, 4.87e-05]","[8.08e-06, 9.85e-05]",1.89e-05,1.89e-05
beta,0.287,"[0.14, 0.273]",0.227,"[0.221, 0.234]","[0.221, 0.567]","[0.138, 0.965]",0.223,0.223
epsilon,0.264,"[0.214, 1.136]",0.0834,"[0.0781, 0.0891]","[0.0599, 0.57]","[0.0402, 15.702]",0.0802,0.0802
sqrt(xc/eta),639.462,"[120.764, 148.881]",517.544,"[510.914, 524.26]","[510.914, 627.97]","[510.914, 878.062]",519.688,519.688
s= eta^0.5*xc^1.5/epsilon,0.736,"[0.133, 0.163]",0.632,"[0.621, 0.642]","[0.621, 0.664]","[0.544, 1.094]",0.626,0.626
beta*xc/epsilon,12.169,"[1.796, 2.107]",14.289,"[14.07, 14.51]","[12.828, 14.51]","[9.722, 14.51]",14.176,14.176
eta*xc/epsilon,0.00115,"[6.02e-05, 6.35e-05]",0.0012,"[0.00119, 0.00121]","[0.00119, 0.00125]","[0.00105, 0.00127]",0.0012,0.0012
Fx=beta^2/eta*xc,292.144,"[141.58, 274.712]",506.722,"[483.806, 530.724]","[441.036, 530.724]","[100.304, 638.65]",512.938,512.938
Dx =beta*epsilon/eta*xc^2,23.956,"[9.906, 16.889]",37.261,"[35.897, 38.676]","[30.924, 38.676]","[10.106, 60.498]",36.184,36.184
Pk=beta*k/epsilon,0.555,"[0.369, 1.1]",1.402,"[1.333, 1.474]","[1.333, 1.801]","[0.0892, 1.801]",1.388,1.388
Fk=beta^2/eta*k,6086.824,"[2749.517, 5014.768]",5196.008,"[5034.066, 5363.159]","[3667.837, 7360.878]","[1033.652, 14772.339]",5240.622,5240.622
Dk =beta*epsilon/eta*k^2,10989.815,"[8705.627, 41885.005]",3758.499,"[3539.423, 3991.135]","[584.082, 5722.53]","[517.977, 165263.661]",3777.015,3777.015
Fk^2/Dk=beta^3/eta*epsilon,3268.57,"[1790.63, 3960.103]",7016.16,"[6596.492, 7462.527]","[5830.962, 7462.527]","[1036.86, 10804.495]",7271.382,7271.382
epsilon/beta^2,3.205,"[1.581, 3.119]",1.635,"[1.559, 1.716]","[1.286, 2.079]","[1.286, 8.777]",1.619,1.619
k/beta,1.741,"[0.848, 1.652]",2.199,"[2.135, 2.264]","[0.881, 2.264]","[0.518, 3.631]",2.246,2.246
k^2/epsilon,0.946,"[0.768, 4.074]",2.993,"[2.801, 3.198]","[0.438, 4.17]","[0.0159, 6.207]",3.116,3.116
eta/xc,2.57e-06,"[8.75e-07, 1.33e-06]",3.73e-06,"[3.64e-06, 3.83e-06]","[2.67e-06, 3.83e-06]","[1.3e-06, 3.83e-06]",3.7e-06,3.7e-06
beta/xc,0.0273,"[0.0109, 0.0183]",0.0422,"[0.0407, 0.0437]","[0.0353, 0.0504]","[0.0121, 0.0504]",0.0436,0.0436
epsilon/xc^2,0.00225,"[0.000751, 0.00113]",0.00315,"[0.00307, 0.00324]","[0.00249, 0.00324]","[0.00119, 0.00445]",0.00307,0.00307
k/xc,0.0485,"[0.029, 0.0718]",0.0942,"[0.0907, 0.0979]","[0.084, 0.123]","[0.00842, 0.155]",0.0979,0.0979
best fit no ext hazard_MedianLifetime,5424.98,185.02000000000044,5424.98,"[5245.0199999999995, 5610.0]","[5245.0199999999995, 5610.0]","[5245.0199999999995, 5610.0]",5424.98,
best fit no ext hazard_MaxLifetime,9000.88,0,9000.88,"[9000.88, 9000.88]","[9000.88, 9000.88]","[9000.88, 9000.88]",9000.88,
best fit_MedianLifetime,5185.86,184.97000000000025,5185.86,"[5005.95, 5370.83]","[5005.95, 5370.83]","[5005.95, 5370.83]",5185.86,
best fit_MaxLifetime,8924.21,0,8924.21,"[8924.21, 8924.21]","[8924.21, 8924.21]","[8924.21, 8924.21]",8924.21,
data_MedianLifetime,5201.25,189.65999999999985,5201.25,"[5025.35, 5390.91]","[5025.35, 5390.91]","[5025.35, 5390.91]",5201.25,
data_MaxLifetime,9161.5,0,9161.5,"[9161.5, 9161.5]","[9161.5, 9161.5]","[9161.5, 9161.5]",9161.5,
ML_lnprob,-20437.248890420808,"[-20437.248890420808, -20437.248890420808]",-20437.248890420808,"[-20437.248890420808, -20437.248890420808]","[-20437.248890420808, -20437.248890420808]","[-20437.248890420808, -20437.248890420808]",-20437.248890420808,-20437.248890420808
