,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,12.982,"[5.851, 10.651]",8.02,"[7.803, 8.244]","[7.385, 10.276]","[6.989, 43.01]",7.924,7.924
beta/eta,90.368,"[16.191, 19.725]",102.777,"[100.373, 105.238]","[100.373, 105.238]","[59.638, 110.338]",101.488,101.488
xc^2/epsilon,2.527,"[1.173, 2.188]",1.516,"[1.47, 1.564]","[1.381, 2.004]","[1.381, 8.891]",1.519,1.519
xc,5.229,"[2.681, 5.504]",3.741,"[3.584, 3.904]","[3.021, 3.904]","[2.338, 25.607]",3.678,3.678
eta,0.378,"[0.124, 0.184]",0.418,"[0.401, 0.474]","[0.311, 0.516]","[0.172, 0.857]",0.464,0.422
beta,33.729,"[10.23, 14.683]",48.061,"[46.017, 50.196]","[35.454, 50.196]","[16.215, 50.196]",47.102,42.756
epsilon,9.738,"[6.105, 16.365]",8.745,"[6.714, 9.55]","[4.72, 9.55]","[2.333, 112.533]",8.906,7.76
sqrt(xc/eta),3.676,"[0.97, 1.317]",2.832,"[2.793, 2.871]","[2.717, 3.206]","[2.644, 6.741]",2.815,2.815
s= eta^0.5*xc^1.5/epsilon,0.716,"[0.202, 0.282]",0.536,"[0.526, 0.546]","[0.526, 0.638]","[0.506, 1.435]",0.54,0.54
beta*xc/epsilon,17.28,"[2.743, 3.261]",19.099,"[18.662, 19.546]","[18.662, 20.473]","[12.301, 21.443]",19.452,19.452
eta*xc/epsilon,0.196,"[0.00794, 0.00827]",0.196,"[0.194, 0.198]","[0.19, 0.198]","[0.182, 0.219]",0.192,0.192
Fx=beta^2/eta*xc,506.197,"[327.035, 923.993]",952.037,"[885.71, 1023.332]","[885.71, 1578.307]","[65.802, 1578.307]",1299.771,1299.771
Dx =beta*epsilon/eta*xc^2,29.934,"[17.284, 40.898]",66.255,"[62.87, 69.823]","[45.897, 69.823]","[5.633, 77.545]",66.821,66.821
Pk=beta*k/epsilon,1.878,"[1.074, 2.509]",2.682,"[2.526, 2.848]","[2.526, 3.62]","[0.258, 4.082]",2.644,2.644
Fk=beta^2/eta*k,6158.467,"[2195.696, 3412.289]",9057.96,"[8555.008, 9590.48]","[6072.404, 10751.282]","[2434.453, 10751.282]",9560.554,9560.554
Dk =beta*epsilon/eta*k^2,3380.012,"[1841.682, 4046.536]",3617.977,"[3314.634, 3949.08]","[1959.993, 3949.08]","[816.494, 32301.299]",3615.289,3615.289
Fk^2/Dk=beta^3/eta*epsilon,11301.807,"[7548.221, 22727.209]",24166.673,"[21979.211, 26571.841]","[18180.362, 32124.117]","[1055.502, 32124.117]",25282.677,25282.677
epsilon/beta^2,0.0108,"[0.00641, 0.0158]",0.0053,"[0.00426, 0.0057]","[0.00368, 0.00881]","[0.00368, 0.0583]",0.00401,0.0122
k/beta,0.0162,"[0.0051, 0.00744]",0.0135,"[0.0129, 0.0154]","[0.0118, 0.0183]","[0.00995, 0.0367]",0.0106,0.0102
k^2/epsilon,0.0243,"[0.0162, 0.048]",0.0406,"[0.0372, 0.0443]","[0.0261, 0.107]","[0.00186, 0.107]",0.0281,0.0086
eta/xc,0.0795,"[0.0353, 0.0636]",0.125,"[0.121, 0.128]","[0.0973, 0.135]","[0.0233, 0.143]",0.126,0.126
beta/xc,7.23,"[3.896, 8.448]",12.685,"[12.069, 13.332]","[9.89, 14.728]","[1.351, 14.728]",12.807,12.807
epsilon/xc^2,0.409,"[0.187, 0.344]",0.66,"[0.64, 0.68]","[0.531, 0.724]","[0.112, 0.724]",0.658,0.658
k/xc,0.099,"[0.0493, 0.0983]",0.134,"[0.128, 0.14]","[0.128, 0.166]","[0.0195, 0.214]",0.136,0.136
best fit no ext hazard_MedianLifetime,45.79,0.509999999999998,45.79,"[45.3, 46.3]","[45.3, 46.3]","[45.3, 46.3]",45.79,
best fit no ext hazard_MaxLifetime,70.11,0,70.11,"[70.11, 70.11]","[70.11, 70.11]","[70.11, 70.11]",70.11,
best fit_MedianLifetime,45.77,0.509999999999998,45.77,"[45.28, 46.28]","[45.28, 46.28]","[45.28, 46.28]",45.77,
best fit_MaxLifetime,70.31,0,70.31,"[70.31, 70.31]","[70.31, 70.31]","[70.31, 70.31]",70.31,
data_MedianLifetime,47.0,0.5399999999999991,47.0,"[46.52, 47.54]","[46.52, 47.54]","[46.52, 47.54]",47.0,
data_MaxLifetime,66.0,0,66.0,"[66.0, 66.0]","[66.0, 66.0]","[66.0, 66.0]",66.0,
ML_lnprob,-4032.9856234774975,"[-4032.9856234774975, -4032.9856234774975]",-4032.9856234774975,"[-4032.9856234774975, -4032.9856234774975]","[-4032.9856234774975, -4032.9856234774975]","[-4032.9856234774975, -4032.9856234774975]",-4032.9856234774975,-4032.9856234774975
