,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,1.627,"[0.48, 0.681]",2.024,"[1.971, 2.078]","[1.221, 2.312]","[1.041, 3.355]",1.112,1.112
beta/eta,17.513,"[1.438, 1.567]",18.639,"[18.298, 18.986]","[18.298, 18.986]","[14.133, 19.699]",18.484,18.484
xc^2/epsilon,1.401,"[0.461, 0.688]",0.941,"[0.911, 0.972]","[0.911, 1.26]","[0.911, 3.328]",0.939,0.939
xc,15.696,"[6.359, 10.689]",13.864,"[13.326, 14.423]","[12.313, 15.611]","[8.972, 75.97]",14.203,14.203
ExtH,5.982,"[0.145, 0.149]",6.157,"[6.152, 6.162]","[6.013, 6.183]","[5.801, 6.183]",6.161,6.161
eta,9.658,"[3.45, 5.367]",8.051,"[7.713, 8.404]","[7.079, 10.869]","[5.964, 23.517]",12.769,12.769
beta,168.307,"[58.962, 90.757]",231.253,"[222.354, 240.509]","[150.182, 281.385]","[109.718, 329.209]",236.036,236.036
epsilon,175.026,"[102.087, 244.97]",147.186,"[135.569, 159.799]","[97.574, 159.799]","[30.863, 1597.191]",214.747,214.747
sqrt(xc/eta),1.285,"[0.201, 0.239]",1.423,"[1.404, 1.442]","[1.197, 1.52]","[1.02, 1.832]",1.055,1.055
s= eta^0.5*xc^1.5/epsilon,1.108,"[0.22, 0.275]",0.877,"[0.86, 0.894]","[0.86, 1.217]","[0.86, 1.788]",0.891,0.891
beta*xc/epsilon,15.031,"[0.762, 0.803]",15.491,"[15.226, 15.762]","[14.708, 15.762]","[13.258, 15.762]",15.611,15.611
eta*xc/epsilon,0.873,"[0.0452, 0.0476]",0.838,"[0.83, 0.846]","[0.814, 0.88]","[0.798, 0.97]",0.845,0.845
Fx=beta^2/eta*xc,173.973,"[65.838, 105.923]",132.697,"[125.136, 140.715]","[111.282, 224.995]","[61.892, 319.924]",307.19,307.19
Dx =beta*epsilon/eta*xc^2,11.683,"[4.167, 6.477]",9.171,"[8.758, 9.603]","[6.644, 11.545]","[4.597, 20.061]",19.678,19.678
Pk=beta*k/epsilon,0.491,"[0.197, 0.33]",0.549,"[0.519, 0.58]","[0.519, 0.648]","[0.099, 0.808]",0.55,0.55
Fk=beta^2/eta*k,5556.299,"[1949.774, 3003.869]",3949.85,"[3786.259, 4120.51]","[3196.9, 6290.051]","[3196.9, 9601.904]",8725.943,8725.943
Dk =beta*epsilon/eta*k^2,12165.186,"[6907.185, 15980.822]",16464.98,"[15233.892, 17795.556]","[9556.721, 17795.556]","[1729.026, 98360.077]",15877.827,15877.827
Fk^2/Dk=beta^3/eta*epsilon,2842.068,"[1199.092, 2074.224]",5073.451,"[4718.073, 5455.597]","[2639.09, 5455.597]","[825.721, 5455.597]",4795.497,4795.497
epsilon/beta^2,0.00645,"[0.00229, 0.00355]",0.00821,"[0.00777, 0.00867]","[0.00623, 0.00969]","[0.00358, 0.0168]",0.00385,0.00385
k/beta,0.00312,"[0.00105, 0.00158]",0.00405,"[0.00389, 0.00421]","[0.00308, 0.00421]","[0.00152, 0.00455]",0.00212,0.00212
k^2/epsilon,0.00153,"[0.000855, 0.00194]",0.0017,"[0.00156, 0.00184]","[0.00156, 0.00256]","[0.000156, 0.00809]",0.00116,0.00116
eta/xc,0.615,"[0.181, 0.257]",0.494,"[0.481, 0.507]","[0.433, 0.819]","[0.298, 0.961]",0.899,0.899
beta/xc,10.726,"[3.69, 5.625]",16.124,"[15.488, 16.786]","[12.167, 16.786]","[4.275, 18.192]",16.619,16.619
epsilon/xc^2,0.714,"[0.235, 0.35]",1.062,"[1.029, 1.097]","[0.794, 1.097]","[0.3, 1.097]",1.065,1.065
k/xc,0.0318,"[0.0129, 0.0217]",0.036,"[0.0346, 0.0375]","[0.032, 0.0406]","[0.00658, 0.0557]",0.0352,0.0352
best fit no ext hazard_MedianLifetime,12.4,0.5099999999999998,12.4,"[11.91, 12.91]","[11.91, 12.91]","[11.91, 12.91]",12.4,
best fit no ext hazard_MaxLifetime,18.63,0,18.63,"[18.63, 18.63]","[18.63, 18.63]","[18.63, 18.63]",18.63,
best fit_MedianLifetime,12.31,0.5099999999999998,12.31,"[11.82, 12.82]","[11.82, 12.82]","[11.82, 12.82]",12.31,
best fit_MaxLifetime,18.12,0,18.12,"[18.12, 18.12]","[18.12, 18.12]","[18.12, 18.12]",18.12,
data_MedianLifetime,12.3,0.5199999999999996,12.3,"[11.82, 12.82]","[11.82, 12.82]","[11.82, 12.82]",12.3,
data_MaxLifetime,19.36,0,19.36,"[19.36, 19.36]","[19.36, 19.36]","[19.36, 19.36]",19.36,
ML_lnprob,-20998.558840421138,"[-20998.558840421138, -20998.558840421138]",-20998.558840421138,"[-20998.558840421138, -20998.558840421138]","[-20998.558840421138, -20998.558840421138]","[-20998.558840421138, -20998.558840421138]",-20998.558840421138,-20998.558840421138
