,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,3005.68,"[355.366, 403.015]",3012.333,"[2938.961, 3087.537]","[2797.535, 3407.602]","[2412.795, 3950.972]",3342.547,2590.975
beta/eta,68.698,"[6.667, 7.383]",66.802,"[64.705, 68.968]","[64.705, 78.357]","[53.431, 83.521]",62.291,76.96
xc^2/epsilon,234.762,"[33.517, 39.099]",247.259,"[240.319, 254.401]","[227.016, 285.088]","[170.768, 319.477]",270.861,199.518
xc,145.78,"[98.879, 307.339]",43.722,"[38.805, 45.495]","[38.805, 190.422]","[30.568, 1186.249]",647.279,42.637
eta,0.0504,"[0.0349, 0.114]",0.031,"[0.0275, 0.0445]","[0.0184, 0.126]","[0.00822, 0.39]",0.194,0.279
beta,3.398,"[2.348, 7.594]",3.629,"[2.499, 3.828]","[1.467, 8.98]","[0.505, 23.436]",12.062,18.937
epsilon,97.269,"[88.248, 951.476]",73.25,"[49.374, 127.244]","[49.374, 2177.997]","[2.464, 7695.628]",1546.808,3360.905
sqrt(xc/eta),55.343,"[3.368, 3.587]",56.255,"[55.566, 56.953]","[52.892, 58.375]","[47.924, 62.857]",57.815,55.177
s= eta^0.5*xc^1.5/epsilon,4.334,"[0.367, 0.401]",4.336,"[4.262, 4.412]","[4.118, 4.727]","[3.587, 5.242]",4.685,4.369
beta*xc/epsilon,5.3,"[0.433, 0.471]",5.298,"[5.139, 5.463]","[5.139, 5.808]","[4.276, 6.175]",5.048,5.408
eta*xc/epsilon,0.0784,"[0.00269, 0.00278]",0.0809,"[0.0792, 0.0814]","[0.077, 0.0814]","[0.0727, 0.0838]",0.081,0.081
Fx=beta^2/eta*xc,1.471,"[0.386, 0.523]",1.456,"[1.334, 1.589]","[1.12, 1.893]","[0.789, 2.687]",1.161,1.161
Dx =beta*epsilon/eta*xc^2,0.277,"[0.0605, 0.0774]",0.219,"[0.207, 0.232]","[0.207, 0.328]","[0.164, 0.414]",0.23,0.23
Pk=beta*k/epsilon,0.0196,"[0.0138, 0.0467]",0.0739,"[0.0691, 0.0901]","[0.0141, 0.0901]","[0.00194, 0.117]",0.0039,0.0695
Fk=beta^2/eta*k,436.317,"[296.583, 926.078]",197.388,"[182.263, 250.717]","[182.263, 1052.862]","[70.023, 3769.775]",1502.758,194.931
Dk =beta*epsilon/eta*k^2,18433.105,"[16510.47, 158292.777]",1975.989,"[1814.071, 2553.735]","[1086.105, 27978.652]","[1086.105, 1428318.027]",385406.248,2034.411
Fk^2/Dk=beta^3/eta*epsilon,8.468,"[2.693, 3.948]",7.305,"[6.491, 8.221]","[6.491, 10.413]","[3.194, 16.705]",5.859,8.284
epsilon/beta^2,8.373,"[2.085, 2.776]",8.261,"[7.578, 9.005]","[7.578, 10.7]","[4.516, 15.11]",10.631,8.989
k/beta,0.183,"[0.13, 0.453]",0.495,"[0.422, 0.58]","[0.131, 0.889]","[0.0213, 1.1]",0.0415,0.485
k^2/epsilon,0.00386,"[0.00354, 0.0425]",0.0265,"[0.0245, 0.0393]","[0.000761, 0.0393]","[4.45e-05, 0.139]",0.000162,0.0262
eta/xc,0.000333,"[3.96e-05, 4.49e-05]",0.000349,"[0.00034, 0.000357]","[0.000293, 0.000357]","[0.000266, 0.000435]",0.000299,0.000386
beta/xc,0.0229,"[0.00456, 0.00569]",0.0229,"[0.0217, 0.0242]","[0.0217, 0.0303]","[0.0139, 0.0338]",0.0186,0.0297
epsilon/xc^2,0.00426,"[0.000611, 0.000713]",0.00404,"[0.00393, 0.00416]","[0.00371, 0.00466]","[0.00313, 0.00586]",0.00369,0.00501
k/xc,0.00371,"[0.00252, 0.00792]",0.0114,"[0.0102, 0.0119]","[0.00263, 0.0129]","[0.000456, 0.0192]",0.000772,0.0117
best fit no ext hazard_MedianLifetime,107.02,0.5100000000000051,107.02,"[106.53, 107.53]","[106.53, 107.53]","[106.53, 107.53]",107.02,
best fit no ext hazard_MaxLifetime,214.0,0,214.0,"[214.0, 214.0]","[214.0, 214.0]","[214.0, 214.0]",214.0,
best fit_MedianLifetime,107.11,0.5100000000000051,107.11,"[106.62, 107.62]","[106.62, 107.62]","[106.62, 107.62]",107.11,
best fit_MaxLifetime,211.17,0,211.17,"[211.17, 211.17]","[211.17, 211.17]","[211.17, 211.17]",211.17,
data_MedianLifetime,110.0,0.519999999999996,110.0,"[109.52, 110.52]","[109.52, 110.52]","[109.52, 110.52]",110.0,
data_MaxLifetime,191.14,0,191.14,"[191.14, 191.14]","[191.14, 191.14]","[191.14, 191.14]",191.14,
ML_lnprob,-18452.720352933,"[-18452.720352933, -18452.720352933]",-18452.720352933,"[-18452.720352933, -18452.720352933]","[-18452.720352933, -18452.720352933]","[-18452.720352933, -18452.720352933]",-18452.720352933,-18452.720352933
