,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,533.642,"[19.164, 19.877]",524.268,"[523.562, 524.975]","[523.562, 524.975]","[522.154, 576.885]",524.419,524.419
beta/eta,1.15,"[0.771, 2.343]",1.972,"[1.886, 2.061]","[1.886, 2.061]","[0.11, 2.462]",1.992,1.992
xc^2/epsilon,126.142,"[3.52, 3.621]",124.43,"[124.211, 124.649]","[124.211, 124.649]","[122.471, 133.76]",124.443,124.443
xc,5111.219,"[1849.289, 2897.708]",6139.051,"[5875.498, 6414.426]","[5875.498, 6414.426]","[2667.026, 12943.813]",6101.382,6101.382
eta,11.88,"[0.115, 0.116]",11.88,"[11.364, 12.42]","[11.364, 12.42]","[11.364, 12.42]",11.635,11.635
beta,24.219,"[0.573, 0.587]",24.221,"[22.393, 26.198]","[22.393, 26.198]","[22.393, 26.198]",23.176,23.176
epsilon,301795.979,"[5754.189, 5866.033]",301813.072,"[276264.137, 329724.775]","[276264.137, 329724.775]","[276264.137, 329724.775]",299146.881,299146.881
sqrt(xc/eta),23.101,"[0.419, 0.426]",22.897,"[22.881, 22.912]","[22.881, 22.912]","[22.851, 24.018]",22.9,22.9
s= eta^0.5*xc^1.5/epsilon,5.463,"[0.0589, 0.0596]",5.436,"[5.426, 5.447]","[5.426, 5.447]","[5.405, 5.575]",5.434,5.434
beta*xc/epsilon,0.274,"[0.186, 0.577]",0.474,"[0.453, 0.496]","[0.453, 0.496]","[0.0248, 0.595]",0.473,0.473
eta*xc/epsilon,0.236,"[0.00232, 0.00234]",0.237,"[0.237, 0.238]","[0.237, 0.238]","[0.231, 0.24]",0.237,0.237
Fx=beta^2/eta*xc,0.00255,"[0.00229, 0.0217]",0.00762,"[0.00696, 0.00834]","[0.00696, 0.00834]","[2.21e-05, 0.0119]",0.00757,0.00757
Dx =beta*epsilon/eta*xc^2,0.00918,"[0.00628, 0.0199]",0.0161,"[0.0154, 0.0168]","[0.0154, 0.0168]","[0.000808, 0.0201]",0.016,0.016
Pk=beta*k/epsilon,3.99e-05,"[6.36e-07, 6.46e-07]",3.99e-05,"[3.72e-05, 4.28e-05]","[3.72e-05, 4.28e-05]","[3.72e-05, 4.28e-05]",3.87e-05,3.87e-05
Fk=beta^2/eta*k,87.127,"[5.733, 6.137]",87.172,"[77.17, 98.47]","[77.17, 98.47]","[77.17, 98.47]",92.333,92.333
Dk =beta*epsilon/eta*k^2,2262925.654,"[115109.035, 121278.132]",2263741.357,"[2021626.313, 2534852.707]","[2021626.313, 2534852.707]","[2021626.313, 2534852.707]",2383594.005,2383594.005
Fk^2/Dk=beta^3/eta*epsilon,0.00361,"[0.000199, 0.00021]",0.00361,"[0.00316, 0.00414]","[0.00316, 0.00414]","[0.00316, 0.00414]",0.00358,0.00358
epsilon/beta^2,544.678,"[14.695, 15.103]",544.583,"[497.244, 596.43]","[497.244, 596.43]","[497.244, 596.43]",556.94,556.94
k/beta,0.0206,"[0.000547, 0.000562]",0.0206,"[0.0191, 0.0223]","[0.0191, 0.0223]","[0.0191, 0.0223]",0.0216,0.0216
k^2/epsilon,8.27e-07,"[2.11e-08, 2.17e-08]",8.27e-07,"[7.57e-07, 9.04e-07]","[7.57e-07, 9.04e-07]","[7.57e-07, 9.04e-07]",8.36e-07,8.36e-07
eta/xc,0.00187,"[6.73e-05, 6.98e-05]",0.00191,"[0.0019, 0.00191]","[0.0019, 0.00191]","[0.00173, 0.00192]",0.00191,0.00191
beta/xc,0.00222,"[0.00151, 0.00475]",0.00387,"[0.0037, 0.00405]","[0.0037, 0.00405]","[0.0002, 0.00486]",0.0038,0.0038
epsilon/xc^2,0.00793,"[0.000221, 0.000228]",0.00804,"[0.00802, 0.00805]","[0.00802, 0.00805]","[0.00748, 0.00817]",0.00804,0.00804
k/xc,9.78e-05,"[3.54e-05, 5.54e-05]",8.14e-05,"[7.79e-05, 8.51e-05]","[7.79e-05, 8.51e-05]","[3.86e-05, 0.000187]",8.19e-05,8.19e-05
best fit no ext hazard_MedianLifetime,25.42,0.5100000000000016,25.42,"[24.930000000000003, 25.930000000000003]","[24.930000000000003, 25.930000000000003]","[24.930000000000003, 25.930000000000003]",25.42,
best fit no ext hazard_MaxLifetime,65.53,0,65.53,"[65.53, 65.53]","[65.53, 65.53]","[65.53, 65.53]",65.53,
best fit_MedianLifetime,25.3,0.5100000000000016,25.3,"[24.810000000000002, 25.810000000000002]","[24.810000000000002, 25.810000000000002]","[24.810000000000002, 25.810000000000002]",25.3,
best fit_MaxLifetime,64.36,0,64.36,"[64.36, 64.36]","[64.36, 64.36]","[64.36, 64.36]",64.36,
data_MedianLifetime,26.0,0.48999999999999844,26.0,"[25.53, 26.49]","[25.53, 26.49]","[25.53, 26.49]",26.0,
data_MaxLifetime,63.0,0,63.0,"[63.0, 63.0]","[63.0, 63.0]","[63.0, 63.0]",63.0,
ML_lnprob,-90121.12894204134,"[-90121.12894204134, -90121.12894204134]",-90121.12894204134,"[-90121.12894204134, -90121.12894204134]","[-90121.12894204134, -90121.12894204134]","[-90121.12894204134, -90121.12894204134]",-90121.12894204134,-90121.12894204134
