,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,2.317,"[0.618, 0.842]",2.559,"[2.322, 2.82]","[1.912, 3.008]","[1.296, 4.159]",2.648,2.566
beta/eta,7.5,"[1.028, 1.191]",7.322,"[7.021, 7.635]","[6.457, 8.302]","[5.461, 9.816]",6.927,7.491
xc^2/epsilon,1.81,"[0.538, 0.766]",2.083,"[1.849, 2.237]","[1.457, 2.461]","[0.905, 3.434]",2.119,2.093
xc,64.013,"[41.11, 114.896]",73.038,"[69.994, 116.652]","[35.423, 163.976]","[8.332, 418.281]",166.491,13.497
eta,25.412,"[16.882, 50.291]",39.078,"[37.019, 63.597]","[21.549, 109.257]","[3.072, 151.166]",62.873,13.521
beta,192.824,"[128.884, 388.671]",692.355,"[476.056, 812.914]","[202.227, 1006.93]","[23.785, 1006.93]",435.54,119.359
epsilon,1869.351,"[1645.397, 13734.208]",8048.645,"[4307.295, 12579.526]","[863.009, 21497.804]","[28.977, 62784.686]",13081.872,407.453
sqrt(xc/eta),1.534,"[0.219, 0.255]",1.549,"[1.524, 1.626]","[1.383, 1.734]","[1.138, 2.039]",1.627,1.485
s= eta^0.5*xc^1.5/epsilon,1.2,"[0.218, 0.266]",1.285,"[1.218, 1.355]","[1.057, 1.455]","[0.795, 1.738]",1.302,1.131
beta*xc/epsilon,5.822,"[0.578, 0.642]",5.894,"[5.678, 6.118]","[5.678, 6.591]","[4.541, 7.101]",5.543,6.24
eta*xc/epsilon,0.782,"[0.0541, 0.0581]",0.76,"[0.74, 0.78]","[0.74, 0.823]","[0.666, 0.915]",0.8,0.745
Fx=beta^2/eta*xc,24.017,"[10.744, 19.44]",24.695,"[19.054, 26.925]","[13.484, 32.007]","[8.027, 75.975]",18.122,26.859
Dx =beta*epsilon/eta*xc^2,4.113,"[1.612, 2.65]",3.456,"[3.265, 4.097]","[2.602, 5.758]","[1.653, 11.374]",3.269,4.602
Pk=beta*k/epsilon,0.0494,"[0.0334, 0.103]",0.0612,"[0.0439, 0.0748]","[0.0173, 0.0975]","[0.00597, 0.421]",0.0166,0.226
Fk=beta^2/eta*k,2982.174,"[2053.163, 6590.766]",8181.888,"[7497.97, 12659.097]","[2630.423, 15073.789]","[323.735, 17949.076]",6034.273,590.28
Dk =beta*epsilon/eta*k^2,58155.574,"[51594.123, 457289.98]",232266.557,"[142042.101, 379801.152]","[35844.474, 1015536.342]","[853.676, 2230523.602]",362490.627,2608.542
Fk^2/Dk=beta^3/eta*epsilon,148.597,"[75.989, 155.517]",138.157,"[122.316, 199.09]","[75.148, 253.999]","[36.188, 672.921]",100.451,133.573
epsilon/beta^2,0.051,"[0.0223, 0.0396]",0.057,"[0.0435, 0.0623]","[0.0364, 0.0893]","[0.0148, 0.153]",0.069,0.0358
k/beta,0.00264,"[0.00177, 0.00537]",0.000648,"[0.000496, 0.000847]","[0.000496, 0.00247]","[0.000496, 0.021]",0.00115,0.00382
k^2/epsilon,0.000137,"[0.000121, 0.00103]",2.59e-05,"[1.98e-05, 5.8e-05]","[9.71e-06, 0.000242]","[3.33e-06, 0.00862]",1.91e-05,0.000407
eta/xc,0.43,"[0.115, 0.157]",0.391,"[0.355, 0.431]","[0.332, 0.523]","[0.24, 0.823]",0.378,0.467
beta/xc,3.224,"[1.163, 1.82]",2.838,"[2.69, 3.333]","[2.17, 4.131]","[1.413, 7.863]",2.616,3.718
epsilon/xc^2,0.551,"[0.164, 0.234]",0.48,"[0.469, 0.567]","[0.406, 0.686]","[0.291, 1.105]",0.472,0.594
k/xc,0.00804,"[0.0052, 0.0147]",0.00684,"[0.00467, 0.00778]","[0.0028, 0.0141]","[0.00119, 0.06]",0.003,0.021
best fit no ext hazard_MedianLifetime,4.09,0.5099999999999998,4.09,"[3.5999999999999996, 4.6]","[3.5999999999999996, 4.6]","[3.5999999999999996, 4.6]",4.09,
best fit no ext hazard_MaxLifetime,10.0,0,10.0,"[10.0, 10.0]","[10.0, 10.0]","[10.0, 10.0]",10.0,
best fit_MedianLifetime,4.1,0.5099999999999998,4.1,"[3.6099999999999994, 4.609999999999999]","[3.6099999999999994, 4.609999999999999]","[3.6099999999999994, 4.609999999999999]",4.1,
best fit_MaxLifetime,10.0,0,10.0,"[10.0, 10.0]","[10.0, 10.0]","[10.0, 10.0]",10.0,
data_MedianLifetime,4.02,0.54,4.02,"[3.5599999999999996, 4.56]","[3.5599999999999996, 4.56]","[3.5599999999999996, 4.56]",4.02,
data_MaxLifetime,10.0,0,10.0,"[10.0, 10.0]","[10.0, 10.0]","[10.0, 10.0]",10.0,
ML_lnprob,-4923.7407795883355,"[-4923.7407795883355, -4923.7407795883355]",-4923.7407795883355,"[-4923.7407795883355, -4923.7407795883355]","[-4923.7407795883355, -4923.7407795883355]","[-4923.7407795883355, -4923.7407795883355]",-4923.7407795883355,-4923.7407795883355
