,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,0.843,"[0.314, 0.501]",0.724,"[0.707, 0.777]","[0.559, 0.853]","[0.442, 2.087]",1.986,1.986
beta/eta,26.63,"[6.12, 7.947]",27.563,"[27.171, 27.961]","[25.659, 28.773]","[16.228, 57.204]",19.215,19.215
xc^2/epsilon,0.499,"[0.195, 0.321]",0.432,"[0.424, 0.457]","[0.316, 0.474]","[0.253, 1.284]",1.237,1.237
xc,6.695,"[3.89, 9.287]",6.112,"[5.915, 6.744]","[4.55, 6.744]","[0.679, 62.698]",29.48,29.48
ExtH,5.403,"[0.136, 0.14]",5.433,"[5.411, 5.455]","[5.306, 5.464]","[5.255, 5.757]",5.434,5.434
eta,8.051,"[4.174, 8.668]",13.51,"[13.114, 15.671]","[9.746, 15.671]","[0.962, 23.745]",14.845,14.845
beta,211.956,"[91.726, 161.707]",285.312,"[278.929, 305.35]","[232.748, 365.938]","[57.236, 419.144]",285.241,285.241
epsilon,94.426,"[74.244, 347.375]",116.609,"[109.668, 140.177]","[52.516, 158.481]","[1.17, 2665.866]",702.564,702.564
sqrt(xc/eta),0.921,"[0.193, 0.245]",0.851,"[0.841, 0.881]","[0.748, 0.924]","[0.665, 1.445]",1.409,1.409
s= eta^0.5*xc^1.5/epsilon,0.546,"[0.128, 0.168]",0.436,"[0.43, 0.451]","[0.42, 0.52]","[0.383, 0.938]",0.878,0.878
beta*xc/epsilon,15.751,"[3.627, 4.712]",16.106,"[15.804, 16.414]","[14.651, 16.414]","[10.032, 30.087]",11.969,11.969
eta*xc/epsilon,0.593,"[0.0264, 0.0276]",0.573,"[0.568, 0.579]","[0.558, 0.599]","[0.548, 0.655]",0.623,0.623
Fx=beta^2/eta*xc,827.417,"[483.617, 1163.914]",1321.287,"[1258.589, 1387.109]","[774.018, 1387.109]","[75.043, 4042.063]",185.912,185.912
Dx =beta*epsilon/eta*xc^2,52.684,"[25.897, 50.933]",81.37,"[78.895, 89.269]","[54.463, 89.269]","[9.082, 114.287]",15.533,15.533
Pk=beta*k/epsilon,1.12,"[0.758, 2.344]",1.304,"[1.241, 1.371]","[1.016, 1.851]","[0.0835, 20.389]",0.203,0.203
Fk=beta^2/eta*k,11154.037,"[4321.733, 7055.418]",15878.04,"[15420.16, 17334.883]","[10854.075, 19487.356]","[4013.476, 21907.102]",10961.539,10961.539
Dk =beta*epsilon/eta*k^2,9597.415,"[7204.147, 28889.875]",13458.642,"[11451.889, 14202.865]","[6685.441, 21846.084]","[213.378, 168893.317]",53997.652,53997.652
Fk^2/Dk=beta^3/eta*epsilon,12946.632,"[8845.039, 27919.262]",18112.769,"[16950.03, 22101.815]","[11383.722, 28819.431]","[914.826, 240849.117]",2225.196,2225.196
epsilon/beta^2,0.00212,"[0.00124, 0.00295]",0.00131,"[0.00124, 0.00154]","[0.00124, 0.00236]","[0.000524, 0.0164]",0.00863,0.00863
k/beta,0.00237,"[0.00103, 0.00183]",0.00175,"[0.00164, 0.00179]","[0.00131, 0.00205]","[0.00119, 0.00914]",0.00175,0.00175
k^2/epsilon,0.00264,"[0.00209, 0.0101]",0.00214,"[0.00178, 0.00228]","[0.00158, 0.00475]","[9.36e-05, 0.213]",0.000356,0.000356
eta/xc,1.186,"[0.442, 0.705]",1.381,"[1.287, 1.414]","[1.172, 1.79]","[0.479, 2.264]",0.504,0.504
beta/xc,31.404,"[15.009, 28.751]",47.982,"[43.155, 49.709]","[30.306, 49.709]","[6.399, 70.784]",9.676,9.676
epsilon/xc^2,2.003,"[0.784, 1.288]",2.313,"[2.189, 2.445]","[2.109, 3.165]","[0.779, 3.95]",0.808,0.808
k/xc,0.0737,"[0.0423, 0.099]",0.0817,"[0.0741, 0.0845]","[0.0741, 0.11]","[0.00797, 0.645]",0.017,0.017
best fit no ext hazard_MedianLifetime,12.3,0.5099999999999998,12.3,"[11.81, 12.81]","[11.81, 12.81]","[11.81, 12.81]",12.3,
best fit no ext hazard_MaxLifetime,20.07,0,20.07,"[20.07, 20.07]","[20.07, 20.07]","[20.07, 20.07]",20.07,
best fit_MedianLifetime,12.1,0.5099999999999998,12.1,"[11.61, 12.61]","[11.61, 12.61]","[11.61, 12.61]",12.1,
best fit_MaxLifetime,19.99,0,19.99,"[19.99, 19.99]","[19.99, 19.99]","[19.99, 19.99]",19.99,
data_MedianLifetime,12.06,0.5199999999999996,12.06,"[11.58, 12.58]","[11.58, 12.58]","[11.58, 12.58]",12.06,
data_MaxLifetime,19.87,0,19.87,"[19.87, 19.87]","[19.87, 19.87]","[19.87, 19.87]",19.87,
ML_lnprob,-17573.376625049652,"[-17573.376625049652, -17573.376625049652]",-17573.376625049652,"[-17573.376625049652, -17573.376625049652]","[-17573.376625049652, -17573.376625049652]","[-17573.376625049652, -17573.376625049652]",-17573.376625049652,-17573.376625049652
