,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,81.435,"[16.841, 21.232]",98.0,"[96.276, 99.756]","[96.276, 103.361]","[58.57, 110.966]",98.12,98.12
beta/eta,7.427,"[1.239, 1.487]",6.522,"[6.327, 6.723]","[6.327, 7.144]","[5.604, 9.678]",6.411,6.411
xc^2/epsilon,151.323,"[43.481, 61.012]",197.255,"[192.544, 202.082]","[192.544, 212.092]","[93.233, 233.625]",195.793,195.793
xc,78.211,"[38.984, 77.727]",43.416,"[41.582, 45.33]","[16.09, 82.946]","[14.759, 277.715]",44.248,44.248
eta,3.576,"[1.88, 3.965]",3.161,"[3.021, 3.309]","[3.021, 3.309]","[0.104, 9.019]",0.451,3.056
beta,26.73,"[15.204, 35.257]",19.957,"[18.726, 21.268]","[18.726, 21.268]","[7.684, 111.21]",2.891,20.921
epsilon,495.599,"[377.882, 1590.929]",422.062,"[386.202, 461.252]","[386.202, 461.252]","[0.646, 2723.794]",10.0,431.04
sqrt(xc/eta),9.263,"[0.716, 0.776]",9.386,"[9.303, 9.47]","[9.14, 9.47]","[7.386, 10.534]",9.906,9.441
s= eta^0.5*xc^1.5/epsilon,17.913,"[2.609, 3.054]",18.25,"[17.957, 18.547]","[17.386, 19.156]","[12.185, 22.516]",19.766,18.229
beta*xc/epsilon,13.37,"[1.186, 1.301]",12.906,"[12.528, 13.296]","[12.528, 13.296]","[11.805, 16.864]",12.792,13.219
eta*xc/epsilon,1.947,"[0.117, 0.124]",1.985,"[1.969, 2.001]","[1.969, 2.001]","[1.669, 2.21]",1.995,1.995
Fx=beta^2/eta*xc,0.494,"[0.159, 0.234]",0.428,"[0.397, 0.461]","[0.397, 0.461]","[0.253, 1.528]",0.419,0.419
Dx =beta*epsilon/eta*xc^2,0.037,"[0.0103, 0.0143]",0.0319,"[0.0303, 0.0336]","[0.0272, 0.0336]","[0.0245, 0.097]",0.0327,0.0327
Pk=beta*k/epsilon,0.0919,"[0.063, 0.2]",0.1,"[0.0944, 0.107]","[0.0216, 0.412]","[0.0104, 0.526]",0.145,0.0974
Fk=beta^2/eta*k,154.228,"[101.056, 293.118]",395.024,"[361.643, 431.485]","[178.458, 874.398]","[30.527, 874.398]",37.067,368.28
Dk =beta*epsilon/eta*k^2,4281.489,"[3268.575, 13815.952]",7987.52,"[7225.354, 8830.083]","[7225.354, 8830.083]","[58.657, 119767.341]",256.427,8065.971
Fk^2/Dk=beta^3/eta*epsilon,16.486,"[7.189, 12.749]",23.141,"[20.939, 25.575]","[20.939, 31.238]","[7.702, 38.155]",5.358,22.3
epsilon/beta^2,0.56,"[0.26, 0.486]",0.337,"[0.314, 0.362]","[0.273, 0.555]","[0.273, 1.993]",1.196,0.529
k/beta,0.0569,"[0.0446, 0.207]",0.247,"[0.204, 0.34]","[0.0573, 0.73]","[0.0051, 0.73]",0.173,0.25
k^2/epsilon,0.00572,"[0.00537, 0.0884]",0.122,"[0.111, 0.19]","[0.0065, 0.386]","[6.43e-05, 0.386]",0.025,0.118
eta/xc,0.0107,"[0.00116, 0.0013]",0.0102,"[0.01, 0.0104]","[0.01, 0.0104]","[0.00901, 0.0143]",0.0102,0.0102
beta/xc,0.0692,"[0.0141, 0.0177]",0.0635,"[0.0606, 0.0664]","[0.0606, 0.0664]","[0.0505, 0.126]",0.0653,0.0653
epsilon/xc^2,0.00536,"[0.000804, 0.000946]",0.00507,"[0.00495, 0.00519]","[0.00495, 0.00519]","[0.00428, 0.00842]",0.00511,0.00511
k/xc,0.00872,"[0.00419, 0.00806]",0.0115,"[0.011, 0.012]","[0.011, 0.012]","[0.0018, 0.0311]",0.0113,0.0113
best fit no ext hazard_MedianLifetime,18.4,0.5100000000000016,18.4,"[17.91, 18.91]","[17.91, 18.91]","[17.91, 18.91]",18.4,
best fit no ext hazard_MaxLifetime,28.15,0,28.15,"[28.15, 28.15]","[28.15, 28.15]","[28.15, 28.15]",28.15,
best fit_MedianLifetime,18.38,0.5100000000000016,18.38,"[17.89, 18.89]","[17.89, 18.89]","[17.89, 18.89]",18.38,
best fit_MaxLifetime,27.33,0,27.33,"[27.33, 27.33]","[27.33, 27.33]","[27.33, 27.33]",27.33,
data_MedianLifetime,18.3,0.5199999999999996,18.3,"[17.82, 18.82]","[17.82, 18.82]","[17.82, 18.82]",18.3,
data_MaxLifetime,30.46,0,30.46,"[30.46, 30.46]","[30.46, 30.46]","[30.46, 30.46]",30.46,
ML_lnprob,-17158.07182790857,"[-17158.07182790857, -17158.07182790857]",-17158.07182790857,"[-17158.07182790857, -17158.07182790857]","[-17158.07182790857, -17158.07182790857]","[-17158.07182790857, -17158.07182790857]",-17158.07182790857,-17158.07182790857
