,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,5.671,"[7.46e-14, 7.46e-14]",5.671,"[5.534, 5.812]","[5.534, 5.812]","[5.534, 5.812]",5.607,5.607
beta/eta,110.317,"[8.53e-14, 9.95e-14]",110.317,"[109.782, 110.855]","[109.782, 110.855]","[109.782, 110.855]",110.326,110.326
xc^2/epsilon,1.331,"[1.69e-14, 1.67e-14]",1.331,"[1.3, 1.362]","[1.3, 1.362]","[1.3, 1.362]",1.33,1.33
xc,16.37,"[7.46e-14, 7.11e-14]",16.37,"[15.902, 16.852]","[15.902, 16.852]","[15.902, 16.852]",15.961,15.961
ExtH,7.83,"[3.55e-15, 2.66e-15]",7.83,"[7.824, 7.837]","[7.824, 7.837]","[7.824, 7.837]",7.833,7.833
eta,2.797,"[4.84e-14, 4.84e-14]",2.797,"[2.719, 2.877]","[2.719, 2.877]","[2.719, 2.877]",2.847,2.847
beta,311.254,"[5.57e-12, 5.51e-12]",311.254,"[303.485, 319.221]","[303.485, 319.221]","[303.485, 319.221]",314.073,314.073
epsilon,195.386,"[4.52e-12, 4.49e-12]",195.386,"[184.116, 207.345]","[184.116, 207.345]","[184.116, 207.345]",191.604,191.604
sqrt(xc/eta),2.381,"[1.55e-14, 1.55e-14]",2.381,"[2.352, 2.411]","[2.352, 2.411]","[2.352, 2.411]",2.368,2.368
s= eta^0.5*xc^1.5/epsilon,0.555,"[3.55e-15, 3.55e-15]",0.555,"[0.546, 0.563]","[0.546, 0.563]","[0.546, 0.563]",0.562,0.562
beta*xc/epsilon,25.773,"[1.07e-14, 1.42e-14]",25.773,"[25.362, 26.191]","[25.362, 26.191]","[25.362, 26.191]",26.163,26.163
eta*xc/epsilon,0.239,"[1.67e-16, 1.39e-16]",0.239,"[0.236, 0.243]","[0.236, 0.243]","[0.236, 0.243]",0.237,0.237
Fx=beta^2/eta*xc,2119.235,"[2.82e-11, 2.82e-11]",2119.235,"[2052.51, 2188.129]","[2052.51, 2188.129]","[2052.51, 2188.129]",2170.9,2170.9
Dx =beta*epsilon/eta*xc^2,84.921,"[1.21e-12, 1.21e-12]",84.921,"[82.747, 87.152]","[82.747, 87.152]","[82.747, 87.152]",82.975,82.975
Pk=beta*k/epsilon,0.84,"[2.66e-15, 2.55e-15]",0.84,"[0.807, 0.875]","[0.807, 0.875]","[0.807, 0.875]",0.82,0.82
Fk=beta^2/eta*k,70007.511,"[1.37e-09, 1.37e-09]",70007.511,"[68297.283, 71760.566]","[68297.283, 71760.566]","[68297.283, 71760.566]",69300.572,69300.572
Dk =beta*epsilon/eta*k^2,80951.947,"[1.57e-09, 1.59e-09]",80951.947,"[76386.217, 85790.579]","[76386.217, 85790.579]","[76386.217, 85790.579]",84555.179,84555.179
Fk^2/Dk=beta^3/eta*epsilon,55615.457,"[7.93e-10, 7.93e-10]",55615.457,"[53360.687, 57965.504]","[53360.687, 57965.504]","[53360.687, 57965.504]",56798.05,56798.05
epsilon/beta^2,0.00197,"[2.82e-17, 2.78e-17]",0.00197,"[0.0019, 0.00205]","[0.0019, 0.00205]","[0.0019, 0.00205]",0.00194,0.00194
k/beta,0.00161,"[2.84e-17, 2.86e-17]",0.00161,"[0.00157, 0.00165]","[0.00157, 0.00165]","[0.00157, 0.00165]",0.00159,0.00159
k^2/epsilon,0.00128,"[2.95e-17, 2.95e-17]",0.00128,"[0.0012, 0.00136]","[0.0012, 0.00136]","[0.0012, 0.00136]",0.0013,0.0013
eta/xc,0.176,"[2.3e-15, 2.3e-15]",0.176,"[0.172, 0.181]","[0.172, 0.181]","[0.172, 0.181]",0.178,0.178
beta/xc,19.3,"[2.49e-13, 2.49e-13]",19.3,"[18.767, 19.849]","[18.767, 19.849]","[18.767, 19.849]",19.677,19.677
epsilon/xc^2,0.752,"[9.44e-15, 9.44e-15]",0.752,"[0.734, 0.769]","[0.734, 0.769]","[0.734, 0.769]",0.752,0.752
k/xc,0.0305,"[1.35e-16, 1.35e-16]",0.0305,"[0.0297, 0.0314]","[0.0297, 0.0314]","[0.0297, 0.0314]",0.0313,0.0313
best fit no ext hazard_MedianLifetime,78.49,0.5100000000000051,78.49,"[78.0, 79.0]","[78.0, 79.0]","[78.0, 79.0]",78.49,
best fit no ext hazard_MaxLifetime,105.97,0,105.97,"[105.97, 105.97]","[105.97, 105.97]","[105.97, 105.97]",105.97,
best fit_MedianLifetime,78.2,0.5100000000000051,78.2,"[77.71000000000001, 78.71000000000001]","[77.71000000000001, 78.71000000000001]","[77.71000000000001, 78.71000000000001]",78.2,
best fit_MaxLifetime,106.81,0,106.81,"[106.81, 106.81]","[106.81, 106.81]","[106.81, 106.81]",106.81,
data_MedianLifetime,74.5,0.5,74.5,"[74.0, 75.0]","[74.0, 75.0]","[74.0, 75.0]",74.5,
data_MaxLifetime,106.5,0,106.5,"[106.5, 106.5]","[106.5, 106.5]","[106.5, 106.5]",106.5,
ML_lnprob,-370794.76481385506,"[-370794.76481385506, -370794.76481385506]",-370794.76481385506,"[-370794.76481385506, -370794.76481385506]","[-370794.76481385506, -370794.76481385506]","[-370794.76481385506, -370794.76481385506]",-370794.76481385506,-370794.76481385506
