,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,2.555,"[0.114, 0.12]",2.544,"[2.505, 2.583]","[2.505, 2.583]","[2.505, 2.583]",4.156,2.516
beta/eta,189.189,"[2.676, 2.714]",188.938,"[187.33, 190.559]","[187.33, 190.559]","[187.33, 190.559]",221.158,188.133
xc^2/epsilon,0.414,"[0.0203, 0.0214]",0.412,"[0.405, 0.418]","[0.405, 0.418]","[0.405, 0.418]",0.698,0.406
xc,2.743,"[0.168, 0.179]",2.759,"[2.682, 2.838]","[2.682, 2.838]","[2.682, 2.838]",1.364,2.732
ExtH,6.983,"[0.00527, 0.00527]",6.983,"[6.978, 6.989]","[6.978, 6.989]","[6.978, 6.989]",6.93,6.979
eta,1.084,"[0.113, 0.126]",1.095,"[1.064, 1.126]","[1.064, 1.126]","[1.064, 1.126]",0.328,1.086
beta,204.626,"[18.809, 20.713]",206.478,"[202.222, 210.822]","[202.222, 210.822]","[202.222, 210.822]",72.589,204.289
epsilon,19.07,"[3.141, 3.76]",19.393,"[18.374, 20.469]","[18.374, 20.469]","[18.374, 20.469]",2.665,18.397
sqrt(xc/eta),1.595,"[0.000134, 0.000134]",1.595,"[1.583, 1.607]","[1.583, 1.607]","[1.583, 1.607]",2.039,1.586
s= eta^0.5*xc^1.5/epsilon,0.258,"[2.59e-05, 2.59e-05]",0.258,"[0.255, 0.26]","[0.255, 0.26]","[0.255, 0.26]",0.342,0.256
beta*xc/epsilon,30.232,"[0.00215, 0.00215]",30.232,"[29.84, 30.629]","[29.84, 30.629]","[29.84, 30.629]",37.154,30.337
eta*xc/epsilon,0.167,"[1.45e-06, 1.45e-06]",0.167,"[0.166, 0.168]","[0.166, 0.168]","[0.166, 0.168]",0.168,0.168
Fx=beta^2/eta*xc,11562.621,"[0.704, 0.704]",11562.621,"[11252.245, 11881.558]","[11252.245, 11881.558]","[11252.245, 11881.558]",11769.898,11769.898
Dx =beta*epsilon/eta*xc^2,320.135,"[0.0314, 0.0314]",320.135,"[313.198, 327.225]","[313.198, 327.225]","[313.198, 327.225]",316.783,316.783
Pk=beta*k/epsilon,5.387,"[0.462, 0.505]",5.342,"[5.131, 5.562]","[5.131, 5.562]","[5.131, 5.562]",13.62,5.552
Fk=beta^2/eta*k,76538.365,"[5927.877, 6425.533]",77116.92,"[75731.007, 78528.196]","[75731.007, 78528.196]","[75731.007, 78528.196]",32107.437,76866.925
Dk =beta*epsilon/eta*k^2,13497.074,"[1989.906, 2334.015]",13699.687,"[13059.686, 14371.053]","[13059.686, 14371.053]","[13059.686, 14371.053]",2357.371,13844.442
Fk^2/Dk=beta^3/eta*epsilon,419439.782,"[2995.248, 3016.791]",419159.068,"[403250.012, 435695.769]","[403250.012, 435695.769]","[403250.012, 435695.769]",437303.967,426779.512
epsilon/beta^2,0.000442,"[5.23e-06, 5.3e-06]",0.000441,"[0.000427, 0.000456]","[0.000427, 0.000456]","[0.000427, 0.000456]",0.000506,0.000441
k/beta,0.00244,"[0.000225, 0.000247]",0.00242,"[0.00237, 0.00247]","[0.00237, 0.00247]","[0.00237, 0.00247]",0.00689,0.00245
k^2/epsilon,0.0146,"[0.00228, 0.0027]",0.0143,"[0.0136, 0.0151]","[0.0136, 0.0151]","[0.0136, 0.0151]",0.0938,0.0136
eta/xc,0.391,"[0.0175, 0.0183]",0.393,"[0.387, 0.399]","[0.387, 0.399]","[0.387, 0.399]",0.241,0.397
beta/xc,74.306,"[2.239, 2.308]",74.519,"[72.996, 76.073]","[72.996, 76.073]","[72.996, 76.073]",53.219,74.776
epsilon/xc^2,2.418,"[0.119, 0.125]",2.429,"[2.391, 2.468]","[2.391, 2.468]","[2.391, 2.468]",1.432,2.465
k/xc,0.182,"[0.0111, 0.0119]",0.181,"[0.176, 0.186]","[0.176, 0.186]","[0.176, 0.186]",0.367,0.183
best fit no ext hazard_MedianLifetime,82.69,0.5100000000000051,82.69,"[82.2, 83.2]","[82.2, 83.2]","[82.2, 83.2]",82.69,
best fit no ext hazard_MaxLifetime,110.0,0,110.0,"[110.0, 110.0]","[110.0, 110.0]","[110.0, 110.0]",110.0,
best fit_MedianLifetime,81.64,0.5100000000000051,81.64,"[81.15, 82.15]","[81.15, 82.15]","[81.15, 82.15]",81.64,
best fit_MaxLifetime,109.05,0,109.05,"[109.05, 109.05]","[109.05, 109.05]","[109.05, 109.05]",109.05,
data_MedianLifetime,79.5,0.5,79.5,"[79.0, 80.0]","[79.0, 80.0]","[79.0, 80.0]",79.5,
data_MaxLifetime,110.0,0,110.0,"[110.0, 110.0]","[110.0, 110.0]","[110.0, 110.0]",110.0,
ML_lnprob,-385019.4183674486,"[-385019.4183674486, -385019.4183674486]",-385019.4183674486,"[-385019.4183674486, -385019.4183674486]","[-385019.4183674486, -385019.4183674486]","[-385019.4183674486, -385019.4183674486]",-385019.4183674486,-385019.4183674486
