,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,4.193,"[2.41e-11, 2.41e-11]",6.502,"[6.301, 6.708]","[6.301, 6.708]","[6.301, 7.142]",4.214,4.193
beta/eta,115.418,"[1.36e-10, 1.36e-10]",108.601,"[107.778, 109.431]","[107.778, 109.431]","[107.778, 109.431]",114.909,115.418
xc^2/epsilon,1.117,"[4.14e-12, 4.14e-12]",1.633,"[1.595, 1.672]","[1.595, 1.672]","[1.521, 1.672]",1.104,1.117
xc,6.315,"[7.62e-11, 7.62e-11]",12.379,"[11.869, 12.911]","[11.869, 12.911]","[11.869, 14.044]",6.154,6.315
eta,1.445,"[1.2e-07, 1.2e-07]",2.101,"[2.036, 2.168]","[2.036, 2.168]","[2.036, 2.307]",1.46,1.445
beta,168.135,"[1.15e-05, 1.15e-05]",228.949,"[223.134, 234.916]","[223.134, 234.916]","[223.134, 247.32]",167.822,168.135
epsilon,35.087,"[8.6e-06, 8.6e-06]",127.483,"[117.607, 138.189]","[117.607, 138.189]","[100.091, 138.189]",34.32,35.087
sqrt(xc/eta),2.048,"[1.36e-10, 1.36e-10]",2.55,"[2.51, 2.59]","[2.51, 2.59]","[2.51, 2.672]",2.053,2.048
s= eta^0.5*xc^1.5/epsilon,0.535,"[9.01e-12, 9.01e-12]",0.535,"[0.525, 0.546]","[0.525, 0.546]","[0.525, 0.568]",0.538,0.535
beta*xc/epsilon,30.904,"[3e-09, 3e-09]",24.568,"[23.873, 25.282]","[23.873, 25.282]","[23.873, 25.282]",30.093,30.904
eta*xc/epsilon,0.259,"[4.7e-13, 4.7e-13]",0.235,"[0.23, 0.241]","[0.23, 0.241]","[0.23, 0.253]",0.262,0.259
Fx=beta^2/eta*xc,3203.982,"[2.52e-08, 2.52e-08]",1583.517,"[1515.282, 1654.825]","[1515.282, 1654.825]","[1515.282, 1807.217]",3133.569,3203.982
Dx =beta*epsilon/eta*xc^2,104.753,"[5.14e-10, 5.14e-10]",67.457,"[65.627, 69.339]","[65.627, 69.339]","[65.627, 69.339]",104.129,104.753
Pk=beta*k/epsilon,2.46,"[4.62e-07, 4.62e-07]",0.917,"[0.855, 0.984]","[0.855, 0.984]","[0.855, 0.984]",2.445,2.46
Fk=beta^2/eta*k,37767.583,"[0.00225, 0.00225]",46517.396,"[45321.405, 47744.947]","[45321.405, 47744.947]","[45321.405, 50298.087]",38568.658,37767.583
Dk =beta*epsilon/eta*k^2,16204.82,"[0.000321, 0.000321]",46228.601,"[42893.523, 49822.991]","[42893.523, 49822.991]","[42893.523, 57871.917]",15774.7,16204.82
Fk^2/Dk=beta^3/eta*epsilon,98330.49,"[0.00118, 0.00118]",41247.777,"[38367.183, 44344.646]","[38367.183, 44344.646]","[38367.183, 44344.646]",94299.188,98330.49
epsilon/beta^2,0.00116,"[1.26e-11, 1.26e-11]",0.00255,"[0.00239, 0.00272]","[0.00239, 0.00272]","[0.00239, 0.00272]",0.00122,0.00116
k/beta,0.00297,"[1.77e-11, 1.77e-11]",0.00207,"[0.00202, 0.00213]","[0.00202, 0.00213]","[0.00202, 0.00224]",0.00298,0.00297
k^2/epsilon,0.00712,"[1.52e-10, 1.52e-10]",0.00196,"[0.00181, 0.00212]","[0.00181, 0.00212]","[0.00181, 0.00212]",0.00728,0.00712
eta/xc,0.238,"[1.37e-12, 1.37e-12]",0.154,"[0.149, 0.159]","[0.149, 0.159]","[0.14, 0.159]",0.237,0.238
beta/xc,27.854,"[1.92e-10, 1.92e-10]",16.436,"[15.829, 17.067]","[15.829, 17.067]","[15.829, 18.403]",27.27,27.854
epsilon/xc^2,0.895,"[3.32e-12, 3.32e-12]",0.612,"[0.598, 0.627]","[0.598, 0.627]","[0.598, 0.657]",0.906,0.895
k/xc,0.0791,"[9.55e-13, 9.55e-13]",0.0404,"[0.0387, 0.0421]","[0.0387, 0.0421]","[0.0387, 0.0458]",0.0812,0.0791
best fit no ext hazard_MedianLifetime,75.43,0.5100000000000051,75.43,"[74.94000000000001, 75.94000000000001]","[74.94000000000001, 75.94000000000001]","[74.94000000000001, 75.94000000000001]",75.43,
best fit no ext hazard_MaxLifetime,106.17,0,106.17,"[106.17, 106.17]","[106.17, 106.17]","[106.17, 106.17]",106.17,
best fit_MedianLifetime,73.01,0.5100000000000051,73.01,"[72.52000000000001, 73.52000000000001]","[72.52000000000001, 73.52000000000001]","[72.52000000000001, 73.52000000000001]",73.01,
best fit_MaxLifetime,105.2,0,105.2,"[105.2, 105.2]","[105.2, 105.2]","[105.2, 105.2]",105.2,
data_MedianLifetime,72.5,0.5,72.5,"[72.01, 73.0]","[72.01, 73.0]","[72.01, 73.0]",72.5,
data_MaxLifetime,107.5,0,107.5,"[107.5, 107.5]","[107.5, 107.5]","[107.5, 107.5]",107.5,
