,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,520.612,"[125.763, 165.82]",595.804,"[531.358, 605.628]","[436.675, 668.067]","[314.856, 926.547]",408.216,369.433
beta/eta,22.623,"[4.836, 6.15]",25.542,"[23.595, 26.226]","[21.227, 29.151]","[13.906, 34.161]",27.351,29.285
xc^2/epsilon,277.107,"[87.576, 128.043]",334.52,"[287.066, 341.911]","[193.702, 341.911]","[136.543, 603.521]",206.282,174.09
xc,392.252,"[221.509, 508.88]",406.701,"[363.636, 490.104]","[269.802, 766.87]","[70.428, 1877.535]",699.98,406.44
eta,0.614,"[0.352, 0.822]",1.267,"[1.064, 1.508]","[0.568, 1.734]","[0.106, 2.457]",1.715,1.726
beta,14.167,"[8.249, 19.749]",28.638,"[23.078, 32.598]","[10.611, 35.537]","[2.666, 50.195]",46.9,36.029
epsilon,358.033,"[292.36, 1593.868]",1298.774,"[1043.359, 2164.875]","[324.515, 3354.536]","[9.764, 6014.946]",2375.26,3252.286
sqrt(xc/eta),23.047,"[2.947, 3.38]",24.409,"[23.051, 24.61]","[21.592, 26.273]","[17.744, 29.945]",20.204,19.221
s= eta^0.5*xc^1.5/epsilon,12.317,"[2.634, 3.351]",13.979,"[12.528, 14.199]","[10.713, 15.597]","[7.834, 20.035]",10.21,9.057
beta*xc/epsilon,11.909,"[1.655, 1.922]",13.137,"[12.765, 13.52]","[12.053, 14.319]","[8.541, 14.319]",13.821,13.8
eta*xc/epsilon,0.537,"[0.0545, 0.0606]",0.527,"[0.521, 0.555]","[0.5, 0.59]","[0.432, 0.655]",0.505,0.505
Fx=beta^2/eta*xc,0.907,"[0.479, 1.017]",1.306,"[1.069, 1.596]","[0.548, 1.596]","[0.215, 4.064]",1.833,1.833
Dx =beta*epsilon/eta*xc^2,0.0765,"[0.0351, 0.0648]",0.0789,"[0.0753, 0.0993]","[0.0571, 0.144]","[0.0249, 0.274]",0.133,0.133
Pk=beta*k/epsilon,0.0186,"[0.0114, 0.0295]",0.0162,"[0.0136, 0.0172]","[0.00957, 0.0347]","[0.00264, 0.126]",0.00987,0.017
Fk=beta^2/eta*k,647.837,"[401.625, 1056.762]",1781.174,"[1299.312, 1897.164]","[609.439, 2152.296]","[104.177, 3142.631]",2565.594,1886.996
Dk =beta*epsilon/eta*k^2,37800.469,"[30903.771, 169382.079]",280462.732,"[159912.091, 303900.507]","[37711.041, 303900.507]","[1295.703, 678100.523]",259867.644,259867.644
Fk^2/Dk=beta^3/eta*epsilon,12.98,"[7.788, 19.472]",25.721,"[23.452, 33.931]","[9.314, 33.931]","[2.125, 59.051]",25.329,25.329
epsilon/beta^2,1.852,"[0.907, 1.779]",1.326,"[1.24, 1.619]","[0.832, 2.113]","[0.558, 7.003]",1.08,1.44
k/beta,0.0364,"[0.0211, 0.0504]",0.0348,"[0.0333, 0.0513]","[0.0153, 0.0513]","[0.00995, 0.187]",0.0107,0.0361
k^2/epsilon,0.000715,"[0.000583, 0.00316]",0.000298,"[0.000154, 0.00032]","[7.44e-05, 0.00089]","[4.15e-05, 0.0256]",0.000105,0.000906
eta/xc,0.00194,"[0.000465, 0.000611]",0.00211,"[0.00208, 0.00237]","[0.00155, 0.00237]","[0.00112, 0.00328]",0.00245,0.00271
beta/xc,0.0442,"[0.0175, 0.029]",0.0654,"[0.0533, 0.0682]","[0.0326, 0.0682]","[0.0169, 0.121]",0.067,0.0793
epsilon/xc^2,0.00366,"[0.00115, 0.00167]",0.00299,"[0.00292, 0.00348]","[0.00292, 0.00516]","[0.00173, 0.00765]",0.00485,0.00574
k/xc,0.00132,"[0.000753, 0.00175]",0.00123,"[0.00102, 0.00138]","[0.000652, 0.002]","[0.000287, 0.0071]",0.000714,0.00123
best fit no ext hazard_MedianLifetime,49.57,0.509999999999998,49.57,"[49.08, 50.08]","[49.08, 50.08]","[49.08, 50.08]",49.57,
best fit no ext hazard_MaxLifetime,75.12,0,75.12,"[75.12, 75.12]","[75.12, 75.12]","[75.12, 75.12]",75.12,
best fit_MedianLifetime,49.61,0.509999999999998,49.61,"[49.12, 50.12]","[49.12, 50.12]","[49.12, 50.12]",49.61,
best fit_MaxLifetime,75.84,0,75.84,"[75.84, 75.84]","[75.84, 75.84]","[75.84, 75.84]",75.84,
data_MedianLifetime,50.0,0.5499999999999972,50.0,"[49.51, 50.55]","[49.51, 50.55]","[49.51, 50.55]",50.0,
data_MaxLifetime,82.0,0,82.0,"[82.0, 82.0]","[82.0, 82.0]","[82.0, 82.0]",82.0,
ML_lnprob,-3836.2999302519147,"[-3836.2999302519147, -3836.2999302519147]",-3836.2999302519147,"[-3836.2999302519147, -3836.2999302519147]","[-3836.2999302519147, -3836.2999302519147]","[-3836.2999302519147, -3836.2999302519147]",-3836.2999302519147,-3836.2999302519147
