,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,6.473,"[0.000218, 0.000218]",6.864,"[6.665, 7.068]","[6.665, 7.068]","[6.665, 7.068]",6.396,6.473
beta/eta,113.176,"[0.000752, 0.000752]",110.584,"[109.946, 111.226]","[109.946, 111.226]","[109.946, 112.522]",112.717,113.176
xc^2/epsilon,1.357,"[3.83e-05, 3.83e-05]",1.425,"[1.391, 1.461]","[1.391, 1.461]","[1.391, 1.461]",1.38,1.357
xc,12.88,"[0.00199, 0.00199]",13.778,"[13.321, 14.25]","[13.321, 14.25]","[13.321, 14.25]",13.203,12.88
eta,2.048,"[1.52e-07, 1.52e-07]",2.18,"[2.113, 2.25]","[2.113, 2.25]","[1.985, 2.25]",2.064,2.048
beta,233.692,"[1.58e-05, 1.58e-05]",233.692,"[227.139, 240.435]","[227.139, 240.435]","[227.139, 240.435]",232.683,233.692
epsilon,135.151,"[2.28e-05, 2.28e-05]",117.236,"[109.19, 125.875]","[109.19, 125.875]","[109.19, 145.11]",126.286,135.151
sqrt(xc/eta),2.544,"[0.000128, 0.000128]",2.62,"[2.582, 2.659]","[2.582, 2.659]","[2.582, 2.659]",2.529,2.544
s= eta^0.5*xc^1.5/epsilon,0.551,"[3.43e-05, 3.43e-05]",0.572,"[0.561, 0.582]","[0.561, 0.582]","[0.561, 0.582]",0.546,0.551
beta*xc/epsilon,23.972,"[0.00172, 0.00172]",22.994,"[22.52, 23.478]","[22.52, 23.478]","[21.601, 23.478]",24.327,23.972
eta*xc/epsilon,0.212,"[8.22e-13, 8.22e-13]",0.212,"[0.207, 0.216]","[0.207, 0.216]","[0.207, 0.216]",0.216,0.212
Fx=beta^2/eta*xc,1998.085,"[1.5e-08, 1.5e-08]",1847.096,"[1775.936, 1921.108]","[1775.936, 1921.108]","[1775.936, 1921.108]",1986.403,1998.085
Dx =beta*epsilon/eta*xc^2,79.604,"[0.0, 0.0]",79.604,"[77.278, 82.001]","[77.278, 82.001]","[77.278, 82.001]",81.653,79.604
Pk=beta*k/epsilon,0.874,"[1.62e-06, 1.62e-06]",0.874,"[0.829, 0.922]","[0.829, 0.922]","[0.746, 0.922]",0.921,0.874
Fk=beta^2/eta*k,52053.111,"[0.439, 0.439]",52053.111,"[50581.854, 53567.161]","[50581.854, 53567.161]","[50581.854, 53567.161]",52454.504,52053.111
Dk =beta*epsilon/eta*k^2,70843.003,"[1.734, 1.734]",61952.282,"[57934.53, 66248.666]","[57934.53, 66248.666]","[57934.53, 75755.957]",56938.198,70843.003
Fk^2/Dk=beta^3/eta*epsilon,49530.424,"[0.857, 0.857]",39959.986,"[37871.599, 42163.534]","[37871.599, 42163.534]","[37871.599, 46941.868]",48323.887,49530.424
epsilon/beta^2,0.0023,"[3.67e-13, 3.67e-13]",0.00254,"[0.00242, 0.00267]","[0.00242, 0.00267]","[0.00242, 0.00295]",0.00233,0.0023
k/beta,0.00214,"[8.81e-09, 8.81e-09]",0.00214,"[0.00208, 0.0022]","[0.00208, 0.0022]","[0.00196, 0.0022]",0.00215,0.00214
k^2/epsilon,0.00185,"[1.9e-08, 1.9e-08]",0.00185,"[0.00172, 0.00198]","[0.00172, 0.00198]","[0.00172, 0.00198]",0.00198,0.00185
eta/xc,0.154,"[0.00206, 0.00209]",0.146,"[0.141, 0.15]","[0.141, 0.15]","[0.141, 0.15]",0.156,0.154
beta/xc,17.81,"[0.552, 0.569]",15.646,"[15.119, 16.192]","[15.119, 16.192]","[15.119, 16.192]",17.623,17.947
epsilon/xc^2,0.735,"[0.00826, 0.00836]",0.702,"[0.685, 0.719]","[0.685, 0.719]","[0.685, 0.719]",0.724,0.737
k/xc,0.0382,"[0.00229, 0.00244]",0.0363,"[0.0351, 0.0375]","[0.0351, 0.0375]","[0.0351, 0.0401]",0.0379,0.0388
best fit no ext hazard_MedianLifetime,75.83,0.5100000000000051,75.83,"[75.34, 76.34]","[75.34, 76.34]","[75.34, 76.34]",75.83,
best fit no ext hazard_MaxLifetime,109.3,0,109.3,"[109.3, 109.3]","[109.3, 109.3]","[109.3, 109.3]",109.3,
best fit_MedianLifetime,75.72,0.5100000000000051,75.72,"[75.23, 76.23]","[75.23, 76.23]","[75.23, 76.23]",75.72,
best fit_MaxLifetime,109.47,0,109.47,"[109.47, 109.47]","[109.47, 109.47]","[109.47, 109.47]",109.47,
data_MedianLifetime,79.5,0.5,79.5,"[79.0, 80.0]","[79.0, 80.0]","[79.0, 80.0]",79.5,
data_MaxLifetime,110.0,0,110.0,"[110.0, 110.0]","[110.0, 110.0]","[110.0, 110.0]",110.0,
