,mean,std,mode,percentile_16,percentile_50,percentile_95,max_likelihood,mode_overall
xc/eta,19.787,"[6.524, 9.734]",19.906,"[19.501, 22.991]","[15.873, 27.106]","[8.561, 44.422]",8.426,9.256
beta/eta,6.848,"[1.465, 1.864]",6.862,"[6.252, 7.078]","[6.252, 8.527]","[4.048, 11.631]",10.237,9.919
xc^2/epsilon,25.942,"[10.728, 18.294]",32.639,"[26.59, 33.609]","[18.711, 37.785]","[8.739, 76.304]",8.436,9.752
xc,227.531,"[151.851, 456.542]",313.914,"[273.397, 433.359]","[157.301, 686.912]","[24.918, 1573.974]",299.931,195.835
ExtH,4.983,"[0.141, 0.145]",4.863,"[4.835, 4.867]","[4.827, 4.947]","[4.827, 5.306]",4.906,4.956
eta,11.092,"[7.33, 21.614]",19.922,"[15.586, 25.464]","[8.648, 37.71]","[1.339, 67.963]",35.595,10.078
beta,76.86,"[51.47, 155.812]",138.136,"[130.299, 207.897]","[57.525, 295.14]","[8.876, 418.994]",364.389,81.638
epsilon,1831.616,"[1621.731, 14152.448]",7920.139,"[4087.646, 10515.841]","[901.322, 18538.151]","[30.029, 84073.576]",10663.918,1195.237
sqrt(xc/eta),4.449,"[0.807, 0.986]",4.462,"[4.416, 4.795]","[4.067, 5.315]","[2.866, 6.529]",2.903,2.903
s= eta^0.5*xc^1.5/epsilon,5.835,"[1.66, 2.319]",6.498,"[5.832, 6.64]","[4.907, 7.558]","[2.922, 11.151]",2.906,2.906
beta*xc/epsilon,8.98,"[1.021, 1.152]",9.552,"[9.253, 9.861]","[8.682, 9.861]","[6.73, 11.2]",10.249,10.249
eta*xc/epsilon,1.311,"[0.17, 0.195]",1.273,"[1.254, 1.332]","[1.217, 1.504]","[0.984, 1.75]",1.001,1.001
Fx=beta^2/eta*xc,2.37,"[1.384, 3.323]",2.313,"[1.547, 2.506]","[1.547, 4.769]","[0.364, 17.264]",12.437,12.437
Dx =beta*epsilon/eta*xc^2,0.264,"[0.142, 0.307]",0.258,"[0.194, 0.273]","[0.154, 0.431]","[0.0491, 1.352]",1.214,1.214
Pk=beta*k/epsilon,0.0206,"[0.0142, 0.0459]",0.0139,"[0.0101, 0.0168]","[0.00689, 0.0361]","[0.00249, 0.215]",0.0171,0.0342
Fk=beta^2/eta*k,1052.765,"[728.363, 2363.721]",1424.109,"[1309.698, 2164.729]","[670.184, 3577.966]","[106.172, 8267.174]",7460.591,1322.704
Dk =beta*epsilon/eta*k^2,52060.789,"[45873.482, 385985.284]",161387.558,"[146192.885, 392974.516]","[30048.666, 583632.742]","[854.767, 1911901.134]",436671.727,113355.974
Fk^2/Dk=beta^3/eta*epsilon,21.595,"[13.519, 36.151]",17.857,"[16.033, 24.671]","[12.925, 47.093]","[2.86, 212.851]",127.465,58.799
epsilon/beta^2,0.315,"[0.165, 0.347]",0.319,"[0.295, 0.403]","[0.185, 0.471]","[0.0534, 1.398]",0.0803,0.0803
k/beta,0.00647,"[0.00431, 0.0129]",0.00362,"[0.0027, 0.00431]","[0.00169, 0.00869]","[0.00119, 0.0563]",0.00137,0.00137
k^2/epsilon,0.000133,"[0.000117, 0.001]",3.15e-05,"[2.37e-05, 6.11e-05]","[1.35e-05, 0.000277]","[2.97e-06, 0.00831]",2.34e-05,2.34e-05
eta/xc,0.0506,"[0.0167, 0.0249]",0.0502,"[0.0435, 0.0513]","[0.0354, 0.0605]","[0.0225, 0.117]",0.119,0.108
beta/xc,0.347,"[0.163, 0.307]",0.282,"[0.269, 0.362]","[0.22, 0.54]","[0.0895, 1.328]",1.215,1.072
epsilon/xc^2,0.0386,"[0.016, 0.0272]",0.0306,"[0.0298, 0.0376]","[0.025, 0.0504]","[0.0131, 0.114]",0.119,0.103
k/xc,0.00219,"[0.00146, 0.00439]",0.00159,"[0.00115, 0.00183]","[0.000728, 0.00318]","[0.000318, 0.0201]",0.00167,0.00255
best fit no ext hazard_MedianLifetime,10.98,0.5099999999999998,10.98,"[10.49, 11.49]","[10.49, 11.49]","[10.49, 11.49]",10.98,
best fit no ext hazard_MaxLifetime,18.63,0,18.63,"[18.63, 18.63]","[18.63, 18.63]","[18.63, 18.63]",18.63,
best fit_MedianLifetime,10.75,0.5099999999999998,10.75,"[10.26, 11.26]","[10.26, 11.26]","[10.26, 11.26]",10.75,
best fit_MaxLifetime,18.02,0,18.02,"[18.02, 18.02]","[18.02, 18.02]","[18.02, 18.02]",18.02,
data_MedianLifetime,10.73,0.5299999999999994,10.73,"[10.26, 11.26]","[10.26, 11.26]","[10.26, 11.26]",10.73,
data_MaxLifetime,19.0,0,19.0,"[19.0, 19.0]","[19.0, 19.0]","[19.0, 19.0]",19.0,
ML_lnprob,-8450.4844673953,"[-8450.4844673953, -8450.4844673953]",-8450.4844673953,"[-8450.4844673953, -8450.4844673953]","[-8450.4844673953, -8450.4844673953]","[-8450.4844673953, -8450.4844673953]",-8450.4844673953,-8450.4844673953
