death times,events
11.21959845,1.0
11.69872234,1.0
13.42368241,1.0
5.108715492,1.0
9.081336984,1.0
9.264772987,1.0
9.327857632,1.0
9.467488022,1.0
9.672826831,1.0
10.75416381,1.0
11.11008442,1.0
11.44695414,1.0
11.52897559,1.0
11.58932238,1.0
12.02452658,1.0
12.93896874,1.0
14.46942733,1.0
15.65776865,1.0
8.65149441,1.0
12.30378736,1.0
12.4297285,1.0
12.9800365,1.0
10.81451061,1.0
8.084873374,1.0
8.459958932,1.0
12.88980151,1.0
15.71788729,1.0
16.00262377,1.0
4.002623774,1.0
1.552361396,1.0
1.667237052,1.0
1.735797399,1.0
2.233972165,1.0
2.658339037,1.0
3.923226101,1.0
5.45094684,1.0
10.39276751,1.0
10.50239562,1.0
10.73499886,1.0
11.24150125,1.0
11.27435546,1.0
11.31542323,1.0
11.411248,1.0
11.70146019,1.0
12.59411362,1.0
12.63232945,1.0
9.272986539,1.0
10.21754506,1.0
10.33527264,1.0
11.2223363,1.0
11.29089665,1.0
11.71526352,1.0
11.78370979,1.0
11.78633356,1.0
12.22986539,1.0
13.97125257,1.0
14.20659366,1.0
14.66666667,1.0
9.560574949,1.0
11.83835273,1.0
11.16769336,1.0
12.67065937,1.0
13.25382158,1.0
13.26477299,1.0
13.88078941,1.0
14.0039927,1.0
12.38592288,1.0
14.55977641,1.0
10.03696099,1.0
5.80971937,1.0
10.60358202,1.0
11.34280173,1.0
11.80835044,1.0
12.43805613,1.0
11.20864705,1.0
10.97045403,1.0
11.75347935,1.0
13.12799452,1.0
13.68092631,1.0
9.396303901,1.0
4.936230892,1.0
10.4421629,1.0
12.32842802,1.0
14.22587269,1.0
14.49133014,1.0
15.49897331,1.0
9.538558065,1.0
12.66529774,1.0
11.08270591,1.0
13.18537531,1.0
8.401316291,1.0
8.44341775,1.0
12.16689482,1.0
6.244923568,1.0
8.175108373,1.0
8.383185033,1.0
9.697353411,1.0
10.45300023,1.0
10.46132786,1.0
11.8384668,1.0
12.83778234,1.0
13.36059776,1.0
13.67282683,1.0
14.32717317,1.0
15.05258955,1.0
3.142938627,1.0
7.603011636,1.0
8.03559206,1.0
9.631759069,1.0
9.894592745,1.0
11.63586585,1.0
11.64134155,1.0
11.85489391,1.0
12.00524755,1.0
12.3504449,1.0
12.61054073,1.0
12.91432809,1.0
12.99110198,1.0
13.00193931,1.0
13.74389687,1.0
13.95482546,1.0
14.13826146,1.0
14.21754506,1.0
14.83367556,1.0
15.15662788,1.0
0.027264431,1.0
12.01083733,1.0
10.61190965,1.0
12.58863792,1.0
1.431895962,1.0
4.391398585,1.0
5.000938538,1.0
8.290212183,1.0
8.446155601,1.0
8.648870637,1.0
9.316792151,1.0
9.823294547,1.0
10.21754506,1.0
10.27372059,1.0
10.39835729,1.0
10.44490075,1.0
10.52429843,1.0
10.80070728,1.0
10.88010495,1.0
10.88569473,1.0
10.94592745,1.0
10.9486653,1.0
10.95950262,1.0
11.02258727,1.0
11.11019849,1.0
11.11282227,1.0
11.18400639,1.0
11.32648871,1.0
11.38672142,1.0
11.43862651,1.0
11.44684006,1.0
